path	class	authority_mode	audience	lifecycle	canonical_subject
docs/milestones/repository-compression.md	milestone	canonical	contributors	accepted	repository_architecture_compression_boundary
docs/milestones/runtime-console-repl.md	milestone	canonical	contributors	accepted	runtime_console_boundary
docs/model-families/deepseek-v4-flash.md	family	canonical	operators-contributors	living	deepseek_v4_flash_facts
docs/model-families/gemma.md	family	canonical	contributors	living	gemma_facts
docs/model-families/integration.md	family	canonical	contributors	living	model_family_integration_contract
docs/model-families/minimax-h3.md	family	canonical	contributors	living	minimax_h3_fl2va_facts
docs/model-families/qwen.md	family	canonical	contributors	living	qwen_facts
docs/openai-compatibility.md	contract	canonical	integrators-operators	living	openai_compatibility_v1
docs/operations/deepseek.md	operations	canonical	operators	living	deepseek_operation
docs/operations/validation.md	operations	canonical	contributors	living	build_validation_procedure
docs/operator-runbook.md	operations	canonical	operators	living	local_runtime_operation
docs/reference/verified-inference.md	reference	canonical	all	living	verified_inference_reference_architecture
docs/releases/doctrine.md	release	canonical	contributors	living	release_gate_doctrine
docs/releases/v0.1.md	release	canonical	all	unreleased	v0_1_target_and_readiness_contract
docs/worklog/2026-08-11-adaptive-memory-admission.md	worklog	canonical	contributors	retained	adaptive_memory_admission_worklog
docs/worklog/2026-08-14-grouped-attention-output-decode.md	worklog	canonical	contributors	retained	grouped_attention_output_decode_worklog
docs/worklog/2026-08-14-grouped-attention-output-prefill.md	worklog	canonical	contributors	retained	grouped_attention_output_prefill_worklog
docs/worklog/2026-08-14-minimax-chat-media-closure.md	worklog	canonical	contributors	retained	minimax_chat_media_closure_worklog
docs/worklog/2026-08-14-minimax-main-recanonicalization.md	worklog	canonical	contributors	retained	minimax_main_recanonicalization_worklog
docs/worklog/2026-08-14-moe-route-weight-order.md	worklog	canonical	contributors	retained	moe_route_weight_order_worklog
docs/worklog/2026-08-15-grouped-moe-activation-reuse.md	worklog	canonical	contributors	retained	grouped_moe_activation_reuse_worklog
docs/worklog/2026-08-15-minimax-media-operator-reachability.md	worklog	canonical	contributors	retained	minimax_media_operator_reachability_worklog
docs/worklog/2026-08-15-minimax-omni-50-block-conformance.md	worklog	canonical	contributors	retained	minimax_omni_50_block_conformance_worklog
docs/worklog/2026-08-15-minimax-omni-adaln-rounding.md	worklog	canonical	contributors	retained	minimax_omni_adaln_rounding_worklog
docs/worklog/2026-08-15-mxfp4-q8-activation-reuse.md	worklog	canonical	contributors	retained	mxfp4_q8_activation_reuse_worklog
docs/worklog/2026-08-16-execution-topology-roofline.md	worklog	canonical	contributors	retained	execution_topology_roofline_worklog
docs/worklog/2026-08-16-expert-worklist-execution-batch.md	worklog	canonical	contributors	retained	expert_worklist_execution_batch_worklog
docs/worklog/2026-08-16-minimax-256-preview-envelope.md	worklog	canonical	contributors	retained	minimax_256_preview_envelope_worklog
docs/worklog/2026-08-16-minimax-384-preview-envelope.md	worklog	canonical	contributors	retained	minimax_384_preview_envelope_worklog
docs/worklog/2026-08-16-minimax-chunked-bf16-attention.md	worklog	canonical	contributors	retained	minimax_chunked_bf16_attention_worklog
docs/worklog/2026-08-16-minimax-component-cuda-preopen.md	worklog	canonical	contributors	retained	minimax_component_cuda_preopen_worklog
docs/worklog/2026-08-16-minimax-exact-attention-tiling.md	worklog	canonical	contributors	retained	minimax_exact_attention_tiling_worklog
docs/worklog/2026-08-16-minimax-iterative-latent-conformance.md	worklog	canonical	contributors	retained	minimax_iterative_latent_conformance_worklog
docs/worklog/2026-08-16-minimax-reusable-attention-workspace.md	worklog	canonical	contributors	retained	minimax_reusable_attention_workspace_worklog
docs/worklog/2026-08-16-minimax-selective-q8-candidate.md	worklog	canonical	contributors	retained	minimax_selective_q8_candidate_worklog
docs/worklog/2026-08-16-minimax-source-square-attention-tile.md	worklog	canonical	contributors	retained	minimax_source_square_attention_tile_worklog
docs/worklog/2026-08-16-sparse-tensor-core-width-rejection.md	worklog	canonical	contributors	retained	sparse_tensor_core_width_rejection_worklog
docs/worklog/2026-08-17-minimax-source-square-media-qualification.md	worklog	canonical	contributors	retained	minimax_source_square_media_qualification_worklog
docs/worklog/2026-08-17-qa-test-architecture-refoundation.md	worklog	canonical	contributors	retained	qa_test_architecture_refoundation_worklog
docs/worklog/2026-08-17-qa-vertical-cutover.md	worklog	canonical	contributors	retained	qa_vertical_cutover_worklog
docs/worklog/2026-08-18-compatible-batching-structural-acceleration.md	worklog	canonical	contributors	retained	compatible_batching_structural_acceleration_worklog
docs/worklog/2026-08-18-expert-worklist-prefill-admission-repair.md	worklog	canonical	contributors	retained	expert_worklist_prefill_admission_repair_worklog
docs/worklog/2026-08-18-interactive-console-quality-repair.md	worklog	canonical	contributors	retained	interactive_console_quality_repair_worklog
docs/worklog/2026-08-18-minimax-source-scale-correctness.md	worklog	canonical	contributors	retained	minimax_source_scale_correctness_worklog
docs/worklog/2026-08-21-adaptive-output-head-batching.md	worklog	canonical	contributors	retained	adaptive_output_head_batching_worklog
docs/worklog/2026-08-21-exact-mxfp4-decode.md	worklog	canonical	contributors	retained	exact_mxfp4_decode_worklog
docs/worklog/2026-08-21-real-width-tensor-core-cutover-rejection.md	worklog	canonical	contributors	retained	real_width_tensor_core_cutover_rejection_worklog
docs/worklog/2026-08-22-bf16-rolling-projection-reuse.md	worklog	canonical	contributors	retained	bf16_rolling_projection_reuse_worklog
docs/worklog/2026-08-22-cuda-moe-workspace-tail-repair.md	worklog	canonical	contributors	retained	cuda_moe_workspace_tail_repair_worklog
docs/worklog/2026-08-22-minimax-media-model-admission.md	worklog	canonical	contributors	retained	minimax_media_model_admission_worklog
docs/worklog/2026-08-22-narrow-execution-regime-barrier.md	worklog	canonical	contributors	retained	narrow_execution_regime_barrier_worklog
docs/worklog/2026-08-22-transaction-local-rolling-state.md	worklog	canonical	contributors	retained	transaction_local_rolling_state_worklog
docs/worklog/2026-08-22-wide-mxfp4-block-cooperation.md	worklog	canonical	contributors	retained	wide_mxfp4_block_cooperation_worklog
tests/vectors/README.md	test-support	canonical	contributors	living	test_vector_format
