# path	subsystem	semantic_owner	scope	visibility	boundary	primary_consumers	partition	exception_id
src/backend/cuda/ops.c	backend.cuda	backend.cuda.ops	backend	private	reusable-algorithm	backend,graph	implementation	none
src/backend/cuda/private.h	backend.cuda	backend.cuda.private	backend	private	platform-interface	backend,graph	interface	none
src/backend/cuda/qtype.c	backend.cuda	backend.cuda.qtype	backend	private	reusable-algorithm	backend,graph	implementation	none
src/backend/cuda/sampling.c	backend.cuda	backend.cuda.sampling	backend	private	backend-implementation	runtime,generation	implementation	none
src/backend/cuda/transformer.c	backend.cuda	backend.cuda.transformer	backend	private	reusable-algorithm	graph.family,backend.cuda.family	implementation	none
src/cli/commands/accounts.c	cli.commands	cli.commands.accounts	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/artifact.c	cli.commands	cli.commands.artifact	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/backend.c	cli.commands	cli.commands.backend	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/gguf.c	cli.commands	cli.commands.gguf	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/graph.c	cli.commands	cli.commands.graph	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/quant.c	cli.commands	cli.commands.quant	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/model_artifacts.c	cli.commands	cli.commands.model_artifacts	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/model_target.c	cli.commands	cli.commands.model_target	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/paths.c	cli.commands	cli.commands.paths	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/source.c	cli.commands	cli.commands.source	generic	private	reusable-algorithm	cli	implementation	none
src/cli/commands/tokenizer.c	cli.commands	cli.commands.tokenizer	generic	private	reusable-algorithm	cli	implementation	none
src/cli/input/backend.c	cli.input	cli.input.backend	generic	private	reusable-algorithm	cli.commands	implementation	none
src/cli/input/graph.c	cli.input	cli.input.graph	generic	private	reusable-algorithm	cli.commands	implementation	none
src/cli/input/model_artifacts.c	cli.input	cli.input.model_artifacts	generic	private	reusable-algorithm	cli.commands	implementation	none
src/cli/input/model_target.c	cli.input	cli.input.model_target	generic	private	reusable-algorithm	cli.commands	implementation	none
src/cli/input/operator.c	cli.input	cli.input.operator	generic	private	reusable-algorithm	cli.entrypoint+cli.io	implementation	none
src/cli/input/private.h	cli.input	cli.input.private	generic	private	private-interface	cli.commands	interface	none
src/cli/input/source.c	cli.input	cli.input.source	generic	private	reusable-algorithm	cli.commands	implementation	none
src/cli/io/out.c	cli.io	cli.io.out	generic	private	reusable-algorithm	cli,render	implementation	none
src/cli/io/private.h	cli.io	cli.io.private	generic	private	private-interface	cli,render	interface	none
src/cli/main.c	client	client.yvex	entrypoint	private	entrypoint	operator	entrypoint	none
src/cli/io/client.c	client	client.runtime_lane	generic	private	protocol-client	client.yvex	implementation	none
src/cli/private.h	client	client.dispatch	generic	private	source-local-interface	client.yvex,client.runtime_lane	interface	none
src/cli/model_artifacts/artifacts.c	cli.model_artifacts	cli.model_artifacts.artifacts	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/context.c	cli.model_artifacts	cli.model_artifacts.context	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/download.c	cli.model_artifacts	cli.model_artifacts.download	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/fullmodel.c	cli.model_artifacts	cli.model_artifacts.fullmodel	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/models.c	cli.model_artifacts	cli.model_artifacts.models	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/moe.c	cli.model_artifacts	cli.model_artifacts.moe	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/private.h	cli.model_artifacts	cli.model_artifacts.private	generic	private	private-interface	cli.commands,cli.render	interface	none
src/cli/model_artifacts/prepare.c	cli.model_artifacts	cli.model_artifacts.prepare	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/model_artifacts/tensors.c	cli.model_artifacts	cli.model_artifacts.tensors	generic	private	cli-workflow	cli.commands	implementation	none
src/cli/render/backend.c	cli.render	cli.render.backend	generic	private	typed-projection	cli.commands,cli.model_artifacts	implementation	none
src/cli/render/common.c	cli.render	cli.render.common	generic	private	typed-projection	cli.commands,cli.model_artifacts	implementation	none
src/cli/render/graph.c	cli.render	cli.render.graph	generic	private	typed-projection	cli.commands,cli.model_artifacts	implementation	none
src/cli/render/model_artifacts.c	cli.render	cli.render.model_artifacts	generic	private	typed-projection	cli.commands,cli.model_artifacts	implementation	none
src/cli/render/model_target.c	cli.render	cli.render.model_target	generic	private	typed-projection	cli.commands,cli.model_artifacts	implementation	none
src/cli/render/private.h	cli.render	cli.render.private	generic	private	private-interface	cli	interface	none
src/cli/render/source.c	cli.render	cli.render.source	generic	private	typed-projection	cli.commands,cli.model_artifacts	implementation	none
src/core/fs.c	core	core.fs	generic	private	file-serialization	repository	implementation	none
src/core/sha256.c	core	core.sha256	generic	private	reusable-algorithm	repository	implementation	none
src/core/shard_index.c	core	core.shard_index	generic	private	reusable-algorithm	repository	implementation	none
src/core/status.c	core	core.status	generic	private	reusable-algorithm	repository	implementation	none
src/provider/core.c	provider	provider.core	generic	private	resource-lifecycle	server.openai,server,applications	implementation	none
src/daemon/yvexd.c	daemon	daemon.yvexd	entrypoint	private	entrypoint	operator	entrypoint	none
src/gguf/conversion.c	gguf	gguf.conversion	generic	private	file-serialization	artifact,model,quant	implementation	none
src/gguf/core.c	gguf	gguf.core	generic	private	resource-lifecycle	artifact,model,quant	implementation	none
src/gguf/descriptor.c	gguf	gguf.descriptor	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/file_sink.c	gguf	gguf.file_sink	generic	private	transactional-io	artifact,model,quant	implementation	none
src/gguf/imatrix.c	gguf	gguf.imatrix	generic	private	file-serialization	artifact,model,quant	implementation	none
src/gguf/layout_integrity.c	gguf	gguf.layout_integrity	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/qtype.c	gguf	gguf.qtype	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/quant_block.c	gguf	gguf.quant_block	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/quant_compute.c	gguf	gguf.quant_compute	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/quant_execute.c	gguf	gguf.quant_execute	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/quant_job.c	gguf	gguf.quant_job	generic	private	file-serialization	artifact,model,quant	implementation	none
src/gguf/quant_plan.c	gguf	gguf.quant_plan	generic	private	immutable-planning	artifact,model,quant	implementation	none
src/gguf/quant_policy.c	gguf	gguf.quant_policy	generic	private	file-serialization	artifact,model,quant	implementation	none
src/gguf/quant_registry.c	gguf	gguf.quant_registry	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/variant.c	gguf	gguf.physical_variant	generic	private	file-serialization	quant_plan,quant_execute,gguf_writer,operator	implementation	none
src/gguf/quant_scalar.c	gguf	gguf.quant_scalar	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/quant_sink.c	gguf	gguf.quant_sink	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/tokenizer_metadata.c	gguf	gguf.tokenizer_metadata	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/tools.c	gguf	gguf.tools	generic	private	reusable-algorithm	artifact,model,quant	implementation	none
src/gguf/writer.c	gguf	gguf.writer	generic	private	transactional-io	artifact,model,quant	implementation	none
src/graph/attention.c	graph	graph.attention	generic	private	reusable-algorithm	runtime,cli	implementation	none
src/graph/candidate.c	graph	graph.candidate	generic	private	resource-lifecycle	graph,runtime,tests	implementation	none
src/graph/moe.c	graph	graph.moe	generic	private	reusable-algorithm	runtime,backend,cli,tests	implementation	none
src/graph/transformer.c	graph	graph.transformer	generic	private	reusable-algorithm	runtime,backend,cli,tests	implementation	none
src/backend/cuda/moe.c	backend.cuda	backend.cuda.moe	backend	private	backend-implementation	runtime,graph,tests	implementation	none
src/graph/core.c	graph	graph.core	generic	private	resource-lifecycle	runtime,cli	implementation	none
src/graph/families/deepseek_v4.c	graph.family	graph.family.deepseek_v4	family	private	reusable-algorithm	graph	implementation	none
src/graph/families/minimax_h3.c	graph.family	graph.family.minimax_h3	family	private	reusable-algorithm	artifact,runtime,tests	implementation	none
src/graph/memory_plan.c	graph	graph.memory_plan	generic	private	immutable-planning	runtime,cli	implementation	none
src/graph/numeric.c	graph	graph.numeric	generic	private	reusable-algorithm	runtime,cli	implementation	none
src/graph/plan.c	graph	graph.plan	generic	private	immutable-planning	runtime,cli	implementation	none
src/graph/private.h	graph	graph.private	generic	private	private-interface	runtime,cli	interface	none
src/graph/state_recipe.c	graph	graph.state_recipe	generic	private	immutable-planning	model,graph,runtime,tests	implementation	none
src/io/writer.c	io	io.writer	generic	private	transactional-io	repository	implementation	none
src/model/artifacts/gate.c	model.artifacts	model.artifacts.gate	generic	private	reusable-algorithm	cli,artifact	implementation	none
src/model/artifacts/ref.c	model.artifacts	model.artifacts.ref	generic	private	reusable-algorithm	cli,artifact	implementation	none
src/model/artifacts/registry.c	model.artifacts	model.artifacts.registry	generic	private	file-serialization	cli,artifact	implementation	none
src/model/compilation/binding.c	model.compilation	model.compilation.binding	generic	private	resource-lifecycle	model.family,quant	implementation	none
src/model/compilation/ir.c	model.compilation	model.compilation.ir	generic	private	reusable-algorithm	model.family,quant	implementation	none
src/model/compilation/ir_identity.c	model.compilation	model.compilation.ir_identity	generic	private	canonical-identity	model.family,quant	implementation	none
src/model/compilation/ir_validate.c	model.compilation	model.compilation.ir_validate	generic	private	reusable-algorithm	model.family,quant	implementation	none
src/model/core.c	model	model.core	generic	private	resource-lifecycle	artifact,graph,runtime	implementation	none
include/yvex/internal/families/deepseek_v4.h	model	model.families.deepseek_v4	family	private	family-interface	artifact,graph,runtime	interface	none
include/yvex/internal/families/minimax_h3.h	model	model.families.minimax_h3	family	private	family-interface	model.compilation,cli,tests	interface	none
src/model/families/deepseek_v4.c	model.family	model.family.deepseek_v4	family	private	reusable-algorithm	model,graph,gguf	implementation	none
src/model/families/minimax_h3.c	model.family	model.family.minimax_h3	family	private	reusable-algorithm	model.compilation,cli,tests	implementation	none
src/runtime/descriptor.c	runtime	runtime.descriptor	generic	private	resource-lifecycle	artifact,graph,runtime	implementation	none
src/runtime/binding.c	runtime	runtime.binding	generic	private	file-serialization	artifact,graph,runtime,cli	implementation	none
src/runtime/decode.c	runtime	runtime.decode	generic	private	transactional-execution	runtime,cli,tests	implementation	none
src/runtime/acceptance.c	runtime	runtime.speculation_acceptance	generic	private	numerical-oracle	runtime,generation,tests	implementation	none
src/runtime/generation.c	runtime	runtime.generation	generic	private	transactional-execution	runtime,cli,tests	implementation	none
src/runtime/generation_context.c	runtime	runtime.generation_context	generic	private	resource-lifecycle	runtime,generation,tests	implementation	none
src/runtime/generation_result.c	runtime	runtime.generation_result	generic	private	typed-report	runtime,cli,tests	implementation	none
src/graph/execution.c	graph	graph.execution	generic	private	reusable-algorithm	compilation,artifact,runtime,backend,tests	implementation	none
src/runtime/speculation.c	runtime	runtime.speculation	generic	private	proposal-verification-acceptance	runtime,generation,tests	implementation	none
src/runtime/logits.c	runtime	runtime.logits	generic	private	transactional-execution	runtime,backend,cli,tests	implementation	none
src/runtime/sampling.c	runtime	runtime.sampling	generic	private	transactional-execution	runtime,cli,tests	implementation	none
src/runtime/session.c	runtime	runtime.session_transactions	generic	private	transactional-execution	runtime,generation,graph,tests	implementation	none
src/runtime/moe.c	runtime	runtime.moe	generic	private	transactional-execution	runtime,graph,backend,cli,tests	implementation	none
src/runtime/moe_input.c	runtime	runtime.moe_input	generic	private	file-serialization	runtime,cli,tests	implementation	none
src/runtime/benchmark.c	runtime	runtime.benchmark	generic	private	file-serialization	runtime,cli,tests	implementation	none
include/yvex/internal/runtime_prefill.h	runtime	runtime.prefill	generic	private	internal-abi	runtime,graph,cli,tests	interface	none
src/runtime/prefill.c	runtime	runtime.prefill	generic	private	transactional-execution	runtime,graph,cli,tests	implementation	none
include/yvex/internal/transformer.h	graph	graph.transformer	generic	private	internal-abi	graph,runtime,cli,tests	interface	none
src/runtime/transformer.c	runtime	runtime.transformer	generic	private	transactional-execution	runtime,graph,cli,tests	implementation	none
src/runtime/transformer_input.c	runtime	runtime.transformer_input	generic	private	file-serialization	runtime,cli,tests	implementation	none
src/runtime/residency.c	runtime	runtime.residency	generic	private	resource-lifecycle	artifact,graph,runtime	implementation	none
include/yvex/internal/graph_state.h	graph	graph.state	generic	private	resource-lifecycle	graph,runtime,tests	interface	none
src/graph/state.c	graph	graph.state	generic	private	resource-lifecycle	graph,runtime,tests	implementation	none
src/model/target/catalog.c	model.target	model.target.catalog	generic	private	reusable-algorithm	model,cli	implementation	none
src/model/target/mapping_gate.c	model.target	model.target.mapping_gate	generic	private	reusable-algorithm	model,cli	implementation	none
src/model/target/missing_role.c	model.target	model.target.missing_role	generic	private	reusable-algorithm	model,cli	implementation	none
src/model/target/output_head_map.c	model.target	model.target.output_head_map	generic	private	reusable-algorithm	model,cli	implementation	none
src/model/target/qtype_policy.c	model.target	model.target.qtype_policy	generic	private	reusable-algorithm	model,cli	implementation	none
src/model/target/report.c	model.target	model.target.report	generic	private	typed-projection	model,cli	implementation	none
src/model/target/sidecar_write.c	model.target	model.target.sidecar_write	generic	private	file-serialization	model,cli	implementation	none
src/model/target/tensor_collection.c	model.target	model.target.tensor_collection	generic	private	reusable-algorithm	model,cli	implementation	none
src/model/target/tensor_naming.c	model.target	model.target.lowering	generic	private	reusable-algorithm	model,gguf,cli	implementation	none
src/model/target/tokenizer_map.c	model.target	model.target.tokenizer_map	generic	private	reusable-algorithm	model,cli	implementation	none
src/runtime/core.c	runtime	runtime.core	generic	private	resource-lifecycle	graph,cli	implementation	none
src/runtime/graph.c	runtime	runtime.graph	generic	private	transactional-execution	graph,backend,tests	implementation	none
src/server/core.c	server	server.core	generic	private	resource-lifecycle	daemon,protocol	implementation	none
src/server/openai/core.c	server.openai	server.openai.lifecycle	generic	private	resource-lifecycle	server.core,provider,protocol	implementation	none
src/server/openai/http.c	server.openai	server.openai.http	generic	private	reusable-algorithm	server.openai.lifecycle	implementation	none
src/server/openai/json.c	server.openai	server.openai.json	generic	private	reusable-algorithm	server.openai.lifecycle,provider	implementation	none
src/server/openai/private.h	server.openai	server.openai.shared	generic	private	source-local-interface	server.openai.lifecycle,server.openai.http,server.openai.json,server.openai.render,server.openai.state	interface	none
src/server/openai/render.c	server.openai	server.openai.render	generic	private	reusable-algorithm	server.openai.lifecycle	implementation	none
src/server/openai/state.c	server.openai	server.openai.state	generic	private	resource-lifecycle	server.openai.lifecycle	implementation	none
src/server/private.h	server	server.shared	generic	private	private-interface	server.core,server.protocol,server.local_transport,server.session,server.telemetry,server.openai.lifecycle	interface	none
src/server/protocol.c	server	server.protocol	generic	private	public-protocol	client,daemon	implementation	none
src/server/transport.c	server	server.local_transport	generic	private	resource-lifecycle	client,daemon	implementation	none
src/server/session.c	server	server.session	generic	private	resource-lifecycle	server.core	implementation	none
src/server/telemetry.c	server	server.telemetry	generic	private	resource-lifecycle	server.core,server.session	implementation	none
src/source/inventory.c	source	source.inventory	generic	private	reusable-algorithm	model,compilation	implementation	none
src/core/json.c	core	core.json	generic	private	bounded-parser	source,gguf	implementation	none
src/source/native_weights.c	source	source.native_weights	generic	private	reusable-algorithm	model,compilation	implementation	none
src/source/payload.c	source	source.payload	generic	private	resource-lifecycle	model,compilation	implementation	none
src/source/payload_identity.c	source	source.payload_identity	generic	private	canonical-identity	model,compilation	implementation	none
src/source/payload_plan.c	source	source.payload_plan	generic	private	immutable-planning	model,compilation	implementation	none
src/source/payload_stream.c	source	source.payload_stream	generic	private	reusable-algorithm	model,compilation	implementation	none
src/source/provenance.c	source	source.provenance	generic	private	reusable-algorithm	model,compilation	implementation	none
src/source/report.c	source	source.report	generic	private	typed-projection	model,compilation	implementation	none
src/source/safetensors_header.c	source	source.safetensors_header	generic	private	reusable-algorithm	model,compilation	implementation	none
src/source/scan.c	source	source.scan	generic	private	bounded-parser	model,compilation	implementation	none
src/source/verify.c	source	source.verify	generic	private	reusable-algorithm	model,compilation	implementation	none
src/source/write.c	source	source.write	generic	private	transactional-io	model,compilation	implementation	none
src/tokenizer/core.c	tokenizer	tokenizer.core	generic	private	resource-lifecycle	runtime,cli	implementation	none
src/tokenizer/decode.c	tokenizer	tokenizer.decode	generic	private	resource-lifecycle	runtime,generation	implementation	none
src/tokenizer/execution.c	tokenizer	tokenizer.execution	generic	private	reusable-algorithm	runtime,cli,generation	implementation	none
src/tokenizer/provider.c	tokenizer	tokenizer.provider	generic	private	reusable-algorithm	server,generation,provider	implementation	none
src/tokenizer/private.h	tokenizer	tokenizer.shared	generic	private	source-local-interface	tokenizer.core,tokenizer.execution,tokenizer.decode,tokenizer.provider	interface	none
src/tokenizer/token_input.c	tokenizer	tokenizer.token_input	generic	private	reusable-algorithm	runtime,cli	implementation	none
src/tokenizer/unicode.c	tokenizer	tokenizer.unicode	generic	private	reusable-algorithm	tokenizer.execution,tokenizer.decode	implementation	none
