operation	h3_component	classification	required_semantics	yvex_owner_inspected	existing_api_or_missing_boundary	backend_status	family_specific_status	first_executable_consumer	correctness_oracle	implementation_risk	evidence
causal full attention	text_encoder	available-with-bounded-extension	batched causal GQA with 64 Q heads, 8 KV heads, BF16, arbitrary prompt length	graph.attention;backend.cpu;backend.cuda.ops	row-wise causal F32 attention exists	CPU/CUDA lack batched GQA/BF16 execution	Qwen family owns head geometry	context encoder reduced fixture	Transformers hidden-state fixture	high	text_encoder config and backend attention ABI
attention masks	encoder;transformer	new-generic-primitive	typed causal, padding, media-grid, and joint-latent masks	graph.attention	backend API exposes only a causal boolean	no general mask backend variant	family selects mask construction	one Omni-Transformer block	mask truth tables and exact small attention	medium	backend.h attention signature
Q/K normalization	encoder;transformer;video_vae	available-with-bounded-extension	per-head RMS normalization before attention	graph.numeric;backend rms_norm	generic RMS math exists but not a fused batched Q/K boundary	CPU/CUDA bounded dtype/axis extension	family selects epsilon	one Omni-Transformer block	independent per-head RMS reference	medium	q_norm/k_norm tensor shapes and qk_norm_eps
one-dimensional RoPE	text_encoder	available-with-bounded-extension	Qwen text rotary handling with BF16/GQA geometry	graph.numeric;backend.cpu;backend.cuda.ops	yvex_backend_op_rope is one F32 head at one scalar position	CPU/CUDA F32 scalar-position only	Qwen family selects text policy	context encoder reduced fixture	Transformers hidden-state fixture	medium	backend.h and text encoder config
MM-RoPE	text_encoder;transformer	new-generic-primitive	multi-axis rotary coordinates, interleave/section policy, and exact axis allocation	graph.numeric;backend rope	no multidimensional position ABI	no CPU/CUDA variant	family supplies coordinate construction and axis policy	one Omni-Transformer block	independent coordinate/rotation vectors	high	Qwen mrope_section [24,20,20]; H3 rope inv_freq length 16 with unknown allocation
visual patchify	processor;text_encoder;transformer	new-generic-primitive	checked 2D/3D patch extraction, ordering, padding, and grid identity	graph execution shapes;backend matmul	shapes exist but no patch operation	no backend variant	family selects [1,2,2] latent patch and Qwen [2,16,16] media patch	one Omni-Transformer block	exact index-map fixture	medium	processor and transformer configs
visual unpatchify	transformer;video_vae	new-generic-primitive	inverse latent patch mapping with exact T/H/W ownership	graph execution shapes	no inverse patch operation	no backend variant	family owns latent grid mapping	visual VAE reduced fixture	roundtrip index-map fixture	medium	video_out width 96=24*1*2*2
Conv1D	audio_vae	new-generic-primitive	strided/dilated causal and noncausal 1D convolution with weight-normalized filters	backend operation catalog	no convolution API	no CPU/CUDA variant	audio VAE composes layer schedule	audio VAE standalone decode	independent direct convolution	high	audio tensor shapes and reference filenames
Conv2D	processor;video_vae	new-generic-primitive	spatial convolution with padding/stride/dilation contracts	backend operation catalog	no convolution API	no CPU/CUDA variant	family selects VAE topology	visual VAE reduced fixture	independent direct convolution	high	no conv operation in backend.h
Conv3D	video_vae	new-generic-primitive	3D convolution with causal encoder/noncausal decoder temporal policy	backend operation catalog	no convolution API	no CPU/CUDA variant	family selects VAE topology	visual VAE reduced fixture	independent direct 3D convolution	very-high	video VAE use_3d_conv and 5D weights
causal temporal convolution	video_vae;audio_vae	new-generic-primitive	left-context/padding state with chunk-equivalent output	backend operation catalog	no temporal convolution/state ABI	no CPU/CUDA variant	family selects causal sites	visual or audio VAE fixture	whole-vs-chunk exactness oracle	high	video causal_encoder=true; audio convolutional encoder
spatial resampling	video_vae	new-generic-primitive	down/up factors, filter, padding, and tiled overlap reconciliation	backend operation catalog	no resampling API	no CPU/CUDA variant	family selects factors [2,2,2,2,1,1]	visual VAE reduced fixture	independent image reference and seam tests	high	video VAE space_down/space_up configs
temporal resampling	video_vae	new-generic-primitive	temporal factor 4 with causal/noncausal boundary and clip tiling	backend operation catalog	no resampling API	no CPU/CUDA variant	family selects factor schedule	visual VAE reduced fixture	independent temporal impulse/roundtrip tests	high	video VAE vae_ratio_t=4 and clip_length=17
alias-free audio resampling	audio_vae	new-generic-primitive	low-pass up/down sampling with exact filter and boundary policy	backend operation catalog	no audio resampling API	no CPU/CUDA variant	audio VAE composes rates and filters	audio VAE standalone decode	impulse/frequency response and reference waveform	very-high	decoder rate product 800 and alias-free filter tensors
AdaLN modulation	transformer	new-generic-primitive	timestep-conditioned shift/scale/gate broadcast across joint tokens	graph.transformer;backend matmul	no adaptive normalization/modulation ABI	no backend variant	MiniMax family owns 18-way modulation interpretation	one Omni-Transformer block	independent block reference	high	adaln_out_features=18*5376 and per-block weights
modulation caching	transformer	new-generic-primitive	identity-bound derived products keyed by schedule, dtype, block, and source weights	graph.execution;runtime.residency	Physical Execution IR has derived_asset_required but no modulation asset lifecycle	no backend construction/admission	family states cacheability; generic owner binds lifecycle	full Transformation IR then iterative executor	fresh-vs-cached exact/tolerance comparison	high	50 per-block 96768x2688 matrices dominate 26.0 GB
latent initialization	latent_controller	new-generic-primitive	seeded normal tensor generation with transactional RNG and shape identity	runtime.sampling	token-selection PCG uniform transactions are not tensor-normal initialization	no backend RNG variant	family supplies video/audio shapes and scaling	iterative latent controller	fixed-seed statistical vectors and rollback tests	high	no FL2VA initialization contract in admitted metadata
timestep embedding	transformer	available-with-bounded-extension	256-wide timestep features through 5376 then 2688 projections	backend matmul;graph execution	matmul exists but sinusoidal/flow timestep feature owner is absent	F32/BF16 dtype extension needed	family selects exact embedding policy	one Omni-Transformer block	independent embedding vectors	medium	timestep_input_dim=256 and time projection tensors
iteration schedule	latent_controller	unknown	exact solver, timestep sequence, step count, sigma transformation, and update equation	no scheduler owner	FL2VA model index declares scheduler null	no backend scheduler	unknown until source contract is admitted	full Transformation IR	exact source schedule vectors and one-step oracle	very-high	sigma shift scales audio=3/video=12 are declared; solver is not
iterative latent update	latent_controller;transformer	family-specific-composition	joint candidate update, audio/video scaling, cancellation, and commit per iteration	graph execution;runtime session	no latent-iteration request/session ABI	no backend program	MiniMax graph recipe owns irreducible schedule composition	one Omni-Transformer block then controller	one-step and multi-step reference with rollback	very-high	FL2VA pipeline class and shared transformer
visual VAE encode/decode	video_vae	family-specific-composition	declared 3D convolutional encoder and ViT decoder with normalization/tiling	no VAE owner	missing component execution boundary	missing primitives and backend path	MiniMax recipe composes generic convolution/attention/resampling	visual VAE reduced fixture	reference latent/frame tolerance and tiling parity	very-high	video VAE configs and 560 tensor headers
audio VAE encode/decode	audio_vae	family-specific-composition	32-channel latent statistics and BigVGAN stereo waveform decode	no VAE owner	missing component execution boundary	missing primitives and backend path	MiniMax recipe composes generic audio operations	audio VAE standalone decode	reference latent/waveform tolerance and roundtrip	very-high	audio configs and 1087 tensor headers
stereo audio handling	audio_vae	available-with-bounded-extension	two-channel shape, interleave/layout, clipping, and sample-count identity	graph execution shapes	generic shapes exist; no typed audio ABI	no media backend requirement	family selects output_channel=2	audio VAE standalone decode	channel impulse and reference waveform	medium	audio config output_channel=2
audio sample-rate conversion	audio_vae;packager	new-generic-primitive	declared 32000 Hz source with explicit target rate/filter identity	no audio owner	no audio sample-rate ABI	no backend variant	family declares native rate; operator selects admitted target	media packaging	independent resampler vectors	high	audio config sample_rate=32000
video frame packing	video_vae;packager	new-generic-primitive	RGB frame layout, range, timestamp, and frame-rate identity	no media owner	no frame ABI	no backend variant	family declares output tensor geometry only	media packaging	pixel/layout and timestamp fixtures	high	video VAE out_ch=3; frame rate unknown
media container serialization	packager	new-generic-primitive	audio/video codec and container identity, timestamps, flush, cleanup, and refusal	core.fs;io.writer	atomic byte publication exists but no media serializer	no backend role	family must not own codec implementation	media packaging	independent demux/metadata validation	very-high	no media/container source owner
synchronized audio/video publication	pipeline;packager	new-generic-primitive	one request transaction publishes matched durations or neither output	core.fs;runtime session	generic file and token transactions do not bind two media streams	no backend role	family supplies synchronization geometry only	media packaging	fault injection at every prepare/publish edge	very-high	shared FL2VA output but no YVEX media transaction
component residency transitions	all	available-with-bounded-extension	phase-aware load, pin, release, invalidation, budget, and identity preservation	runtime.residency;graph.execution	current residency is one process-lifetime full-model pack	CUDA residency owns full pack, not component stages	family declares lifetimes; common runtime owns transitions	full Transformation IR then context encoder	budget/fault/cleanup/reuse qualification	high	runtime.residency comment and component sizes
inter-component device transfer	all	available-with-bounded-extension	typed transfer of conditioning, latents, and decoded media with identity and sync	backend.core;graph.execution	tensor write/read/copy and device views exist	CPU/CUDA transfer primitives exist	family declares edge shapes and lifetimes	one Omni-Transformer block	byte/tolerance, ownership, and sync tests	medium	backend.h and execution_device_view
cancellation and rollback	all	available-with-bounded-extension	cancel between phases/iterations, discard candidates, release staged components, publish nothing	graph.attention;runtime.session;core.fs	lower-owner cancellation and transactions exist but are token/state-specific	backend attention checks cancellation; media/latent path absent	family selects safe points, common runtime owns transaction	full Transformation IR then iterative controller	fault injection, cancellation, leak and retry tests	high	attention/session/source publication contracts
processor and tokenizer execution	processor;tokenizer	available-with-bounded-extension	exact Qwen2 BPE, chat template, special tokens, and optional media preprocessing	tokenizer.core;tokenizer.execution;tokenizer.decode	text tokenizer lifecycle exists; Qwen2/media processor not admitted	CPU text path only	Qwen family supplies immutable tokenizer facts	context encoder reduced fixture	Transformers token/grid vectors	high	tokenizer files/configs are byte-identical across three copies
Qwen3-VL context encoding	text_encoder	family-specific-composition	64-layer text GQA plus optional 27-layer vision tower producing 5120-wide condition tokens	graph.transformer;runtime.transformer	existing transformer policy is DeepSeek autoregressive execution and cannot represent vision/context-only output	backend primitives incomplete for BF16/GQA/vision	Qwen family owns topology and multimodal composition	context encoder reduced fixture	Transformers hidden-state fixture	very-high	text_encoder config and 1058 tensor headers
atomic output publication	packager	available-with-bounded-extension	validated complete media bytes published without replacement; failure leaves no final output	core.fs;source.write	atomic file publication mechanism exists but is not a typed media transaction	host filesystem only	family supplies no I/O behavior	media packaging	fault injection and fsync/rename identity tests	medium	core.fs transactional publication
patchify plus projection fusion	transformer	backend-fused-candidate	fuse admitted visual patch gather with 96-to-5376 projection without changing grid identity	backend.cuda.ops;graph execution	generic patch and projection semantics must exist before fusion	no CUDA fused variant	family supplies patch geometry, not the fusion contract	one Omni-Transformer block	unfused generic path comparison	medium	video_patch_proj and patch_size [1,2,2]
AdaLN attention/MLP fusion	transformer	backend-fused-candidate	fuse modulation, normalization, QKV, attention, residual, and gated MLP while preserving candidate transaction	backend.cuda.ops;graph execution	all constituent generic semantics are currently incomplete	no CUDA fused variant	family selects modulation ordering only	one Omni-Transformer block	unfused block oracle and intermediate capture	very-high	18-way AdaLN and repeated 50-block tensor pattern
resample convolution fusion	video_vae;audio_vae	backend-fused-candidate	fuse exact admitted resampling filter, padding, convolution, and activation	backend.cuda kernels	constituent convolution/resampling primitives are absent	no CUDA fused variant	VAE family composition selects topology	audio VAE or visual VAE slice	unfused direct reference and impulse tests	high	alias-free filters and declared spatial/temporal rate schedules
