path	subsystem	declared_owner	final_owner	language	physical_lines	function_definitions	global_definitions	static_functions	include_count	include_consumers	symbol_consumers	build_product	owner_boundary	mutable_state	resource_ownership	policy_ownership	abi_schema_ownership	failure_contract	independent_tests	execution_class	disposition	destination	justification
include/yvex/internal/gguf_writer.h	gguf	gguf.writer	gguf.writer	h	260	0	0	0	4	4	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/gguf_writer.h	retains declared internal-abi boundary for artifact,quant
include/yvex/internal/io.h	io	io.internal	io.internal	h	23	0	0	0	1	9	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/io.h	retains declared internal-abi boundary for repository
include/yvex/internal/model.h	model	model.numeric_policy	model.numeric_policy	h	112	0	0	0	2	0	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/model.h	retains declared internal-abi boundary for model.family,compilation,graph,runtime
include/yvex/internal/model_artifact.h	model.artifacts	model.artifacts.internal	model.artifacts.internal	h	86	0	0	0	4	4	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/model_artifact.h	retains declared internal-abi boundary for cli,artifact
include/yvex/internal/model_target.h	model.target	model.target.internal	model.target.internal	h	377	0	0	0	3	14	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/model_target.h	retains declared internal-abi boundary for model,source,cli
include/yvex/internal/quant_numeric.h	gguf	gguf.quant_numeric	gguf.quant_numeric	h	523	0	0	0	9	23	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/unit/quant_numeric.c	production	keep	include/yvex/internal/quant_numeric.h	retains declared internal-abi boundary for artifact,model,quant,backend
include/yvex/internal/runtime.h	runtime	runtime.internal	runtime.internal	h	600	0	0	0	14	15	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/runtime.h	retains declared internal-abi boundary for runtime,graph,cli
src/runtime/private.h	runtime	runtime.private	runtime.private	h	216	1	0	1	6	7	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/runtime/private.h	retains declared internal-abi boundary for runtime
include/yvex/internal/source.h	source	source.internal	source.internal	h	499	0	0	0	5	17	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/internal/source.h	retains declared internal-abi boundary for model,compilation
include/yvex/internal/source_payload.h	source	source.payload	source.payload	h	563	0	0	0	8	13	0	interface	internal-abi	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	tests/unit/source_payload.c	production	keep	include/yvex/internal/source_payload.h	retains declared internal-abi boundary for model,compilation,cli
include/yvex/model.h	abi	abi.model	abi.model	h	401	0	0	0	1	10	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/model.h	retains declared public-abi boundary for repository
include/yvex/provider.h	abi	abi.provider	abi.provider	h	178	0	0	0	1	2	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	tests/unit/provider.c	production	keep	include/yvex/provider.h	retains declared public-abi boundary for repository
include/yvex/qtype.h	abi	abi.qtype	abi.qtype	h	173	0	0	0	1	9	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/qtype.h	retains declared public-abi boundary for repository
include/yvex/quant.h	abi	abi.quant	abi.quant	h	413	0	0	0	2	6	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/quant.h	retains declared public-abi boundary for repository
include/yvex/registry.h	abi	abi.registry	abi.registry	h	207	0	0	0	1	4	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/registry.h	retains declared public-abi boundary for repository
include/yvex/server.h	abi	abi.server	abi.server	h	429	0	0	0	4	2	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	tests/unit/server.c	production	keep	include/yvex/server.h	retains declared public-abi boundary for repository
include/yvex/source.h	abi	abi.source	abi.source	h	266	0	0	0	2	12	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	include/yvex/source.h	retains declared public-abi boundary for repository
include/yvex/tokenizer.h	abi	abi.tokenizer	abi.tokenizer	h	449	0	0	0	4	5	0	interface	public-abi	no-independent-lifecycle-declared	no	no-independent-policy	public-abi	typed-owner-failure-contract	tests/unit/tokenizer.c	production	keep	include/yvex/tokenizer.h	retains declared public-abi boundary for repository
src/accounts/provider.c	accounts	accounts.provider	accounts.provider	c	605	20	7	13	13	0	0	libyvex	file-serialization	no-independent-lifecycle-declared	yes	no-independent-policy	persisted-schema	typed-owner-failure-contract	tests/unit/provider.c	production	keep	src/accounts/provider.c	retains declared file-serialization boundary for cli,server
src/artifact/core.c	artifact	artifact.core	artifact.core	c	392	13	11	2	14	0	13	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/artifact/core.c	retains declared resource-lifecycle boundary for gguf,model,runtime
src/artifact/descriptor.c	artifact	artifact.descriptor	artifact.descriptor	c	228	8	2	6	5	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/artifact/descriptor.c	retains declared reusable-algorithm boundary for gguf,model,runtime
src/artifact/identity.c	artifact	artifact.identity	artifact.identity	c	606	20	11	9	11	0	11	libyvex	canonical-identity	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/artifact/identity.c	retains declared canonical-identity boundary for gguf,model,runtime
src/artifact/integrity.c	artifact	artifact.integrity	artifact.integrity	c	890	20	7	13	8	0	3	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/artifact/integrity.c	retains declared reusable-algorithm boundary for gguf,model,runtime
src/artifact/materialize.c	artifact	artifact.materialize	artifact.materialize	c	1072	31	18	13	9	0	14	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	tests/unit/cuda/materialize.c	production	keep	src/artifact/materialize.c	retains declared resource-lifecycle boundary for gguf,model,runtime
src/artifact/roundtrip_gate.c	artifact	artifact.roundtrip	artifact.roundtrip	c	1113	29	7	22	8	0	2	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/artifact/roundtrip_gate.c	retains declared reusable-algorithm boundary for gguf,model,runtime
src/backend/core.c	backend	backend.core	backend.core	c	1773	67	60	7	6	0	25	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	strengthen	src/backend/core.c	retained semantic owner absorbed one or more same-owner fragments
src/backend/cpu.c	backend	backend.cpu	backend.cpu	c	757	23	1	22	7	0	4	libyvex	backend-implementation	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/backend/cpu.c	retains declared backend-implementation boundary for backend,graph,runtime
src/backend/cuda/backend.c	backend.cuda	backend.cuda.backend	backend.cuda.backend	c	726	16	3	13	5	0	4	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	strengthen	src/backend/cuda/backend.c	retained semantic owner absorbed one or more same-owner fragments
src/backend/cuda/capability.c	backend.cuda	backend.cuda.capability	backend.cuda.capability	c	641	19	8	11	5	0	6	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	defer-to-GB10-wave	src/backend/cuda/capability.c	independent CUDA toolchain/resource owner retained; physical optimization is out of this boundary
src/backend/cuda/errors.c	backend.cuda	backend.cuda.errors	backend.cuda.errors	c	57	1	1	0	2	0	9	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/backend/cuda/errors.c	retains declared reusable-algorithm boundary for backend,graph
src/backend/cuda/graph.c	backend.cuda	backend.cuda.graph	backend.cuda.graph	c	1897	49	13	36	6	0	9	libyvex	resource-lifecycle	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	tests/unit/graph.c,tests/unit/cuda/graph.c	production	defer-to-GB10-wave	src/backend/cuda/graph.c	independent CUDA toolchain/resource owner retained; physical optimization is out of this boundary
src/backend/cuda/families/deepseek_v4.c	backend.cuda.family	backend.cuda.family.deepseek_v4	backend.cuda.family.deepseek_v4	c	1956	35	1	34	7	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/backend/cuda/families/deepseek_v4.c	retains declared reusable-algorithm boundary for graph.family
src/backend/cuda/info.c	backend.cuda	backend.cuda.info	backend.cuda.info	c	209	8	6	2	4	0	8	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/cuda/info.c	production	keep	src/backend/cuda/info.c	retains declared reusable-algorithm boundary for backend,graph
src/backend/cuda/kernels.cu	backend.cuda	backend.cuda.kernels	backend.cuda.kernels	cu	2000	54	29	25	1	0	0	cuda-ptx	backend-kernel	declared-lifecycle	yes	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	defer-to-GB10-wave	src/backend/cuda/kernels.cu	independent CUDA toolchain/resource owner retained; physical optimization is out of this boundary
src/backend/cuda/ops.c	backend.cuda	backend.cuda.ops	backend.cuda.ops	c	1853	42	15	27	9	0	7	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/cuda/ops.c	production	defer-to-GB10-wave	src/backend/cuda/ops.c	independent CUDA toolchain/resource owner retained; physical optimization is out of this boundary
src/backend/cuda/private.h	backend.cuda	backend.cuda.private	backend.cuda.private	h	548	0	0	0	5	10	0	interface	platform-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/backend/cuda/private.h	retains declared platform-interface boundary for backend,graph
src/backend/cuda/qtype.c	backend.cuda	backend.cuda.qtype	backend.cuda.qtype	c	410	4	3	1	7	0	2	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	defer-to-GB10-wave	src/backend/cuda/qtype.c	independent CUDA toolchain/resource owner retained; physical optimization is out of this boundary
src/backend/cuda/tensor.c	backend.cuda	backend.cuda.tensor	backend.cuda.backend	c	257	5	5	0	5	0	1	libyvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/cuda/tensor.c	production	merge	src/backend/cuda/backend.c	implementation fragment folded into backend.cuda.backend; no independent lifecycle or consumer set
src/backend/report.c	backend	backend.report	backend.core	c	119	4	2	2	3	0	0	libyvex	typed-projection	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	merge	src/backend/core.c	implementation fragment folded into backend.core; no independent lifecycle or consumer set
src/cli/commands/accounts.c	cli.commands	cli.commands.accounts	cli.commands.accounts	c	635	16	2	14	7	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/accounts.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/artifact.c	cli.commands	cli.commands.artifact	cli.commands.artifact	c	1794	46	15	31	19	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/artifact.c	production	keep	src/cli/commands/artifact.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/backend.c	cli.commands	cli.commands.backend	cli.commands.backend	c	59	5	4	1	3	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/backend.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/gguf.c	cli.commands	cli.commands.gguf	cli.commands.gguf	c	1261	37	18	19	15	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/gguf.c	production	keep	src/cli/commands/gguf.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/graph.c	cli.commands	cli.commands.graph	cli.commands.graph	c	1614	42	2	40	28	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/graph.c,tests/unit/cuda/graph.c	production	keep	src/cli/commands/graph.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/quant.c	cli.commands	cli.commands.quant	cli.commands.quant	c	565	16	2	14	12	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/quant.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/model_artifacts.c	cli.commands	cli.commands.model_artifacts	cli.commands.model_artifacts	c	1186	30	11	19	15	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/model_artifacts.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/model_target.c	cli.commands	cli.commands.model_target	cli.commands.model_target	c	56	2	2	0	5	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/model_target.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/paths.c	cli.commands	cli.commands.paths	cli.commands.paths	c	469	12	3	9	11	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/paths.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/source.c	cli.commands	cli.commands.source	cli.commands.source	c	328	7	3	4	7	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/commands/source.c	retains declared reusable-algorithm boundary for cli
src/cli/commands/tokenizer.c	cli.commands	cli.commands.tokenizer	cli.commands.tokenizer	c	702	21	11	10	10	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/tokenizer.c	production	keep	src/cli/commands/tokenizer.c	retains declared reusable-algorithm boundary for cli
src/cli/input/backend.c	cli.input	cli.input.backend	cli.input.backend	c	72	3	3	0	2	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/input/backend.c	retains declared reusable-algorithm boundary for cli.commands
src/cli/input/graph.c	cli.input	cli.input.graph	cli.input.graph	c	901	19	1	18	7	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	tests/unit/graph.c,tests/unit/cuda/graph.c	production	keep	src/cli/input/graph.c	retains declared reusable-algorithm boundary for cli.commands
src/cli/input/model_artifacts.c	cli.input	cli.input.model_artifacts	cli.input.model_artifacts	c	912	20	11	9	7	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/input/model_artifacts.c	retains declared reusable-algorithm boundary for cli.commands
src/cli/input/model_target.c	cli.input	cli.input.model_target	cli.input.model_target	c	299	8	1	7	5	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/input/model_target.c	retains declared reusable-algorithm boundary for cli.commands
src/cli/input/operator.c	cli.input	cli.input.operator	cli.input.operator	c	274	9	3	6	9	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/input/operator.c	retains declared reusable-algorithm boundary for cli.entrypoint+cli.io
src/cli/input/private.h	cli.input	cli.input.private	cli.input.private	h	244	0	0	0	17	19	0	interface	private-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/input/private.h	retains declared private-interface boundary for cli.commands
src/cli/input/source.c	cli.input	cli.input.source	cli.input.source	c	201	3	2	1	4	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/input/source.c	retains declared reusable-algorithm boundary for cli.commands
src/cli/io/json.c	cli.io	cli.io.json	cli.io.out	c	107	8	6	2	2	0	0	yvex	bounded-parser	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	merge	src/cli/io/out.c	implementation fragment folded into cli.io.out; no independent lifecycle or consumer set
src/cli/io/out.c	cli.io	cli.io.out	cli.io.out	c	1325	70	36	34	10	0	0	yvex	reusable-algorithm	no-independent-lifecycle-declared	no	typed-policy-or-plan	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	strengthen	src/cli/io/out.c	retained semantic owner absorbed one or more same-owner fragments
src/cli/io/private.h	cli.io	cli.io.private	cli.io.private	h	529	0	0	0	13	19	0	interface	private-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/io/private.h	retains declared private-interface boundary for cli,render
src/cli/main.c	client	client.yvex	client.yvex	c	281	10	1	9	9	0	0	yvex	entrypoint	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/main.c	retains declared entrypoint boundary for operator
src/cli/io/client.c	client	client.runtime_lane	client.runtime_lane	c	1982	65	3	62	23	0	0	yvex	protocol-client	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/io/client.c	retains declared protocol-client boundary for client.yvex
src/cli/private.h	client	client.dispatch	client.dispatch	h	21	0	0	0	1	2	0	interface	source-local-interface	no-independent-lifecycle-declared	no	no-independent-policy	internal-abi	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/private.h	retains declared source-local-interface boundary for client.yvex,client.runtime_lane
src/cli/model_artifacts/artifacts.c	cli.model_artifacts	cli.model_artifacts.artifacts	cli.model_artifacts.artifacts	c	785	23	1	22	5	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/artifacts.c	retains declared cli-workflow boundary for cli.commands
src/cli/model_artifacts/context.c	cli.model_artifacts	cli.model_artifacts.context	cli.model_artifacts.context	c	829	11	2	9	2	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/context.c	retains declared cli-workflow boundary for cli.commands
src/cli/model_artifacts/download.c	cli.model_artifacts	cli.model_artifacts.download	cli.model_artifacts.download	c	1420	49	21	28	15	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/download.c	retains declared cli-workflow boundary for cli.commands
src/cli/model_artifacts/fullmodel.c	cli.model_artifacts	cli.model_artifacts.fullmodel	cli.model_artifacts.fullmodel	c	1468	39	14	25	5	0	0	yvex	cli-workflow	no-independent-lifecycle-declared	no	no-independent-policy	private-implementation	typed-owner-failure-contract	shared-owner-suite	production	keep	src/cli/model_artifacts/fullmodel.c	retains declared cli-workflow boundary for cli.commands
