surface_id	kind	syntax_or_path	owner	lifecycle	audience	side_effects	current_authority	tests	docs	disposition
catalog.kv_fields	orphan CLI catalog	src/cli/catalog/kv_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.kv_options	orphan CLI catalog	src/cli/catalog/kv_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_artifacts_boundaries	orphan CLI catalog	src/cli/catalog/model_artifacts_boundaries.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_artifacts_fields	orphan CLI catalog	src/cli/catalog/model_artifacts_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_artifacts_options	orphan CLI catalog	src/cli/catalog/model_artifacts_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_artifacts_status	orphan CLI catalog	src/cli/catalog/model_artifacts_status.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_target_boundaries	orphan CLI catalog	src/cli/catalog/model_target_boundaries.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_target_fields	orphan CLI catalog	src/cli/catalog/model_target_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_target_options	orphan CLI catalog	src/cli/catalog/model_target_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.model_target_reports	orphan CLI catalog	src/cli/catalog/model_target_reports.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.runtime_options	orphan CLI catalog	src/cli/catalog/runtime_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.sampling_boundaries	orphan CLI catalog	src/cli/catalog/sampling_boundaries.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.sampling_fields	orphan CLI catalog	src/cli/catalog/sampling_fields.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.sampling_options	orphan CLI catalog	src/cli/catalog/sampling_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.source_options	orphan CLI catalog	src/cli/catalog/source_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
catalog.tokenizer_options	orphan CLI catalog	src/cli/catalog/tokenizer_options.def	none; no production include/consumer	source-tree historical data	internal/historical	none	none	unreferenced by build/dispatch	this frozen audit	remove-after-command-registry-migration
config.model.selected	configuration	$XDG_CONFIG_HOME/yvex/model.conf	src/cli/io/client.c	persistent user config	product user	selects next daemon configuration only	client model config	tests/client_cutover.sh	docs/operator-runbook.md	rename-and-distinguish-live
config.package.manifest	configuration	config/package_manifest.tsv	release/package	source tree	packaging	package content policy	manifest	tests/product_topology.sh	docs/system-target.md	retain
config.runtime.socket	configuration	$XDG_RUNTIME_DIR/yvex/yvexd.sock	src/server/protocol.c	daemon lifetime	native clients	Unix listener	server protocol	runtime tests	docs/contract.md	retain
env.ar	environment	AR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.build_dir	environment	BUILD_DIR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.cc	environment	CC	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.cflags	environment	CFLAGS	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.cppflags	environment	CPPFLAGS	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.cuda_home	environment	CUDA_HOME	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.cuda_ldflags	environment	CUDA_LDFLAGS	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.deepseek_models_root	environment	DEEPSEEK_MODELS_ROOT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.deepseek_operator_models_root	environment	DEEPSEEK_OPERATOR_MODELS_ROOT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.deepseek_selected_artifact	environment	DEEPSEEK_SELECTED_ARTIFACT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.deepseek_source	environment	DEEPSEEK_SOURCE	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.deepseek_source_manifest	environment	DEEPSEEK_SOURCE_MANIFEST	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.depflags	environment	DEPFLAGS	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.home	environment	HOME	product path/config owner	process/build invocation	operator	selects path/config resolution	product configuration	focused owner tests	operator runbook	retain-normalize
env.ldflags	environment	LDFLAGS	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.ldlibs	environment	LDLIBS	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.lib_dir	environment	LIB_DIR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.libyvex	environment	LIBYVEX	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.nvcc	environment	NVCC	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.nvccflags	environment	NVCCFLAGS	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.obj_dir	environment	OBJ_DIR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.path	environment	PATH	product path/config owner	process/build invocation	operator	selects path/config resolution	product configuration	focused owner tests	operator runbook	retain-normalize
env.pinned_ggml_build	environment	PINNED_GGML_BUILD	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.pinned_ggml_root	environment	PINNED_GGML_ROOT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.test_dir	environment	TEST_DIR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.xdg_config_home	environment	XDG_CONFIG_HOME	product path/config owner	process/build invocation	operator	selects path/config resolution	product configuration	focused owner tests	operator runbook	retain-normalize
env.xdg_runtime_dir	environment	XDG_RUNTIME_DIR	product path/config owner	process/build invocation	operator	selects path/config resolution	product configuration	focused owner tests	operator runbook	retain-normalize
env.yvex_attention_artifact	environment	YVEX_ATTENTION_ARTIFACT	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_attention_cpu_quick_only	environment	YVEX_ATTENTION_CPU_QUICK_ONLY	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_attention_cuda_only	environment	YVEX_ATTENTION_CUDA_ONLY	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_attention_live	environment	YVEX_ATTENTION_LIVE	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_attention_models_root	environment	YVEX_ATTENTION_MODELS_ROOT	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_attention_runtime_binding	environment	YVEX_ATTENTION_RUNTIME_BINDING	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_bet_tennis_root	environment	YVEX_BET_TENNIS_ROOT	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_bin	environment	YVEX_BIN	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_build_commit	environment	YVEX_BUILD_COMMIT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_build_identity	environment	YVEX_BUILD_IDENTITY	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_build_source_delta_identity	environment	YVEX_BUILD_SOURCE_DELTA_IDENTITY	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_build_source_root	environment	YVEX_BUILD_SOURCE_ROOT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_build_source_state	environment	YVEX_BUILD_SOURCE_STATE	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_client_lane_obj	environment	YVEX_CLIENT_LANE_OBJ	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_cuda_arch	environment	YVEX_CUDA_ARCH	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_cuda_test_filter	environment	YVEX_CUDA_TEST_FILTER	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_deepseek_models_root	environment	YVEX_DEEPSEEK_MODELS_ROOT	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_deepseek_source	environment	YVEX_DEEPSEEK_SOURCE	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_deepseek_source_manifest	environment	YVEX_DEEPSEEK_SOURCE_MANIFEST	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_ggml_checker	environment	YVEX_GGML_CHECKER	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_imatrix_path	environment	YVEX_IMATRIX_PATH	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_keep_test_output	environment	YVEX_KEEP_TEST_OUTPUT	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_lib	environment	YVEX_LIB	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_model_artifact	environment	YVEX_MODEL_ARTIFACT	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_models_registry	environment	YVEX_MODELS_REGISTRY	product path/config owner	process/build invocation	operator	selects path/config resolution	product configuration	focused owner tests	operator runbook	retain-normalize
env.yvex_models_root	environment	YVEX_MODELS_ROOT	product path/config owner	process/build invocation	operator	selects path/config resolution	product configuration	focused owner tests	operator runbook	retain-normalize
env.yvex_node_bin	environment	YVEX_NODE_BIN	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_npm_bin	environment	YVEX_NPM_BIN	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_openai_adapter	environment	YVEX_OPENAI_ADAPTER	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_openai_host	environment	YVEX_OPENAI_HOST	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_prefill_cpu_only	environment	YVEX_PREFILL_CPU_ONLY	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_quant_ds4_preset	environment	YVEX_QUANT_DS4_PRESET	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_quant_preset	environment	YVEX_QUANT_PRESET	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_reference_objs	environment	YVEX_REFERENCE_OBJS	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_runtime_benchmark_dir	environment	YVEX_RUNTIME_BENCHMARK_DIR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_runtime_binding	environment	YVEX_RUNTIME_BINDING	test/live harness	process/build invocation	live proof operator	selects identity-bound external evidence	external evidence configuration	focused owner tests	test/live source	retain-external-evidence
env.yvex_test_cuda_attention_failure	environment	YVEX_TEST_CUDA_ATTENTION_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_bundle_failure	environment	YVEX_TEST_CUDA_BUNDLE_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_cleanup_failure	environment	YVEX_TEST_CUDA_CLEANUP_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_event_failure	environment	YVEX_TEST_CUDA_EVENT_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_graph_api	environment	YVEX_TEST_CUDA_GRAPH_API	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_graph_failure	environment	YVEX_TEST_CUDA_GRAPH_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_graph_node_order	environment	YVEX_TEST_CUDA_GRAPH_NODE_ORDER	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_host_register_failure	environment	YVEX_TEST_CUDA_HOST_REGISTER_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_managed_alloc_failure	environment	YVEX_TEST_CUDA_MANAGED_ALLOC_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_cuda_qtype_copy_failure	environment	YVEX_TEST_CUDA_QTYPE_COPY_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_fail_materialize_after_alloc	environment	YVEX_TEST_FAIL_MATERIALIZE_AFTER_ALLOC	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_fail_materialize_after_transfer	environment	YVEX_TEST_FAIL_MATERIALIZE_AFTER_TRANSFER	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_fail_source_publish_after_write	environment	YVEX_TEST_FAIL_SOURCE_PUBLISH_AFTER_WRITE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_filter	environment	YVEX_TEST_FILTER	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_materialization_cleanup_failure	environment	YVEX_TEST_MATERIALIZATION_CLEANUP_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_out_dir	environment	YVEX_TEST_OUT_DIR	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_auto_disable_full	environment	YVEX_TEST_RUNTIME_AUTO_DISABLE_FULL	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_auto_disable_piecewise	environment	YVEX_TEST_RUNTIME_AUTO_DISABLE_PIECEWISE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_binding_validate_failure	environment	YVEX_TEST_RUNTIME_BINDING_VALIDATE_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_model_cleanup_failure	environment	YVEX_TEST_RUNTIME_MODEL_CLEANUP_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_model_drift	environment	YVEX_TEST_RUNTIME_MODEL_DRIFT	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_phase_cleanup_failure	environment	YVEX_TEST_RUNTIME_PHASE_CLEANUP_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_prefill_fail_layer	environment	YVEX_TEST_RUNTIME_PREFILL_FAIL_LAYER	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_residency_invalidate_failure	environment	YVEX_TEST_RUNTIME_RESIDENCY_INVALIDATE_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_session_cleanup_failure	environment	YVEX_TEST_RUNTIME_SESSION_CLEANUP_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_session_counter_overflow	environment	YVEX_TEST_RUNTIME_SESSION_COUNTER_OVERFLOW	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_session_open_failure	environment	YVEX_TEST_RUNTIME_SESSION_OPEN_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_session_unreserve_failure	environment	YVEX_TEST_RUNTIME_SESSION_UNRESERVE_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_state_abort_failure	environment	YVEX_TEST_RUNTIME_STATE_ABORT_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_state_invalidate_failure	environment	YVEX_TEST_RUNTIME_STATE_INVALIDATE_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_state_publish_failure	environment	YVEX_TEST_RUNTIME_STATE_PUBLISH_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_warm_host_allocation	environment	YVEX_TEST_RUNTIME_WARM_HOST_ALLOCATION	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_test_runtime_workspace_failure	environment	YVEX_TEST_RUNTIME_WORKSPACE_FAILURE	fault-injection owner	process/build invocation	test-only	injects focused failure	test-only fault injection	focused owner tests	test/live source	retain-test-only
env.yvex_tokenizer_reference_python	environment	YVEX_TOKENIZER_REFERENCE_PYTHON	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_variant_artifact	environment	YVEX_VARIANT_ARTIFACT	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvex_variant_binding_dir	environment	YVEX_VARIANT_BINDING_DIR	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
env.yvexd_bin	environment	YVEXD_BIN	Makefile	process/build invocation	build	changes build products	build configuration	focused owner tests	Makefile	retain-build-only
external.provider.gh_cli	external child CLI projection	gh release download argv constructed by evidence models download	src/cli/model_artifacts/download.c	child process	automation/internal	uses --pattern --dir --skip-existing and provider authentication	discovered GitHub CLI contract	tests/cli/models.sh	operator runbook	retain-adapter-not-yvex-flags
external.provider.hf_cli	external child CLI projection	hf download argv constructed by evidence models download	src/cli/model_artifacts/download.c	child process	automation/internal	uses --local-dir --include --exclude --max-workers --token	pinned/discovered Hugging Face CLI contract	tests/cli/models.sh	operator runbook	retain-adapter-not-yvex-flags
make.all	Make target	make all	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.check	Make target	make check	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.check_cuda	Make target	make check-cuda	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.check_docs	Make target	make check-docs	Makefile	finite build/test	developer/CI	build/test side effects	architecture/documentation guard	Makefile	docs/runbooks/common.md	retain
make.check_guardrails	Make target	make check-guardrails	Makefile	finite build/test	developer/CI	build/test side effects	architecture/documentation guard	Makefile	docs/runbooks/common.md	retain
make.clean	Make target	make clean	Makefile	finite build/test	developer/CI	build/test side effects	developer convenience	Makefile	Makefile	retain
make.cli	Make target	make cli	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.client	Make target	make client	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.cuda	Make target	make cuda	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.cuda_info	Make target	make cuda-info	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.cuda_kernels	Make target	make cuda-kernels	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.daemon	Make target	make daemon	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.info	Make target	make info	Makefile	finite build/test	developer/CI	build/test side effects	developer convenience	Makefile	Makefile	retain
make.lib	Make target	make lib	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.package	Make target	make package	Makefile	finite build/test	operator/build	writes package tree	package	Makefile	Makefile	retain
make.server	Make target	make server	Makefile	finite build/test	operator/build	build/test side effects	product build	Makefile	Makefile	retain
make.smoke	Make target	make smoke	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.smoke_cuda	Make target	make smoke-cuda	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.test	Make target	make test	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.test_architecture_boundaries	Make target	make test-architecture-boundaries	Makefile	finite build/test	developer/CI	build/test side effects	architecture/documentation guard	Makefile	docs/runbooks/common.md	retain
make.test_artifact_emit_deepseek_variant_live	Make target	make test-artifact-emit-deepseek-variant-live	Makefile	finite build/test	developer/CI	may execute explicit live proof	live proof	Makefile	Makefile	retain
make.test_artifact_live	Make target	make test-artifact-live	Makefile	finite build/test	developer/CI	may execute explicit live proof	live proof	Makefile	Makefile	retain
make.test_artifact_live_plan	Make target	make test-artifact-live-plan	Makefile	finite build/test	developer/CI	may execute explicit live proof	live proof	Makefile	Makefile	retain
make.test_artifact_live_structure	Make target	make test-artifact-live-structure	Makefile	finite build/test	developer/CI	may execute explicit live proof	live proof	Makefile	Makefile	retain
make.test_artifact_writer	Make target	make test-artifact-writer	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.test_artifact_writer_fault	Make target	make test-artifact-writer-fault	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
make.test_attention	Make target	make test-attention	Makefile	finite build/test	developer/CI	build/test side effects	test	Makefile	Makefile	retain
