command_id	flag	value_type	required	default_value	admitted_range	enum_values	parser_owner	validator_owner	semantic_owner	environment_equivalent	config_equivalent	protocol_field	tests	documentation	finding	disposition
cli.offline.artifact.materialize_gate	--backend	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--check-cleanup	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--expect-bytes	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--expect-dims	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--expect-dtype	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--expect-rank	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--expect-tensor	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--family	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--label	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--model	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--repeat	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--report-out	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--require-cpu	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--require-cuda	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--scope	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.materialize_gate	--sha256	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--backend	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--expect-bytes	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--expect-dims	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--expect-dtype	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--expect-rank	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--expect-tensor	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--family	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--label	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--model	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--report-out	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--require-cpu	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--require-cuda	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.model_gate	--sha256	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.template	--native-source	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.template	--require-all-template-tensors-in-native	boolean	no	false	present/absent		src/cli/commands/gguf.c	template compare parser	GGUF template	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.artifact.template	--template	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--audit	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--backend	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--expect-sha256	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--model	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--output	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--partial-token	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.artifact.verify	--require-token-embedding	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--add-to-git-credential	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--audit	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--cli	path/name	no	auto discovery	bounded		src/cli/commands/accounts.c	accounts parser	provider accounts	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.accounts	--device	boolean	no	false	present/absent		src/cli/commands/accounts.c	accounts parser	provider accounts	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.accounts	--git-protocol	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--hostname	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--interactive	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--output	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--required	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--scopes	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--skip-ssh-key	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--token-env	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--token-stdin	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.accounts	--web	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--audit	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--backend	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--dry-run	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--fail-after-phase	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--family	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--format	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-blockers	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-graph	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-kv	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-logits	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-moe	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-output	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-placement	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--include-roles	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--limit-bytes	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--limit-tensors	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--model	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--output	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--plan-only	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--registry	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--report-dir	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--require-collection	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--require-role	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--residency	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.model	--target	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--alias	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--all-provider-cache	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--asset	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--asset-name	text	no	none	bounded		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.models	--audit	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--auth	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--backend	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--calibration	text	no	none	bounded		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.models	--clear-stale-locks	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--cli	text	no	none	bounded		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.models	--dry-run	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--exclude	repeatable pattern	no	none	bounded		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.models	--failed-partials	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--family	action-dependent	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--force	boolean	action-dependent	action-dependent	action-dependent		command owner named in commands.tsv	command parser and domain owner	command domain owner	see surfaces.tsv	owner configuration or none	none	tests/cli and owner tests	dynamic --help and runbooks	applicability depends on nested action	registry-schema
cli.offline.evidence.models	--force-sidecars	boolean	no	false	present/absent		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.models	--github-source	text	no	none	bounded		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
cli.offline.evidence.models	--include	repeatable pattern	no	none	bounded		src/cli/input/model_artifacts.c; src/cli/model_artifacts/models.c	models parser	model registry/download	none	none	none	owner-focused CLI tests	source parser; parent help may omit	parsed but omitted from parent help	registry-schema
