operation_id	plane	domain_owner	request_schema	result_schema	lifecycle	side_effects	idempotency	local_protocol	CLI_projection	REPL_projection	HTTP_projection	future_TUI	duplicate_implementations	backend_gap	proposed_authority
execute.graph.transformer.generate	Execute	graph/runtime/backend owner	yvex graph transformer generate [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph transformer generate	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.transformer.logits	Execute	graph/runtime/backend owner	yvex graph transformer logits [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph transformer logits	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
execute.graph.transformer.sample	Execute	graph/runtime/backend owner	yvex graph transformer sample [typed options]	typed report/result	finite process	may execute admitted CPU/CUDA component; profile/benchmark leaves may write reports	conditional	none	yvex graph transformer sample	none	none	engineering-only	none	current broad graph dispatcher and repeated option grammar	domain API owner
generation.cancel	Run	server generation	session_name	ACK	turn	requests bounded cancellation	conditional	YVEX_CLIENT_OP_GENERATION_CANCEL	SIGINT during run/chat	/cancel	HTTP disconnect	yes	one	none	server protocol/domain authority; registry describes projection only
generation.chat	Run	server session/generation	none	interactive human	server/session lifecycle	creates or attaches main session; streams turns	conditional	none	yvex	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
generation.turn	Run	server generation	session prompt sampling provider correlation	FRAGMENT METRICS COMPLETE or ERROR	turn	tokenize/prefill/decode/commit/stream	no	YVEX_CLIENT_OP_GENERATION_TURN	yvex run; yvex chat	normal REPL turn	Chat Completions; Responses	yes	one	reasoning channel absent	server protocol/domain authority; registry describes projection only
http.chat.completions	Integrate	src/server/openai + provider	POST JSON messages/sampling/tools/format/stream	JSON or chat.completion.chunk SSE	request/ephemeral session	generation and optional cancellation	no	session.new + generation.turn + session.close	none	none	POST /v1/chat/completions	yes	transport projection	bounded profile only	OpenAI adapter remains projection; provider-neutral and server owners retain semantics
http.health	Integrate	src/server/openai	GET /health	gateway/runtime reachability JSON	request	read only	yes	runtime.status	none	none	GET /health	yes	transport projection	field name gateway is stale	OpenAI adapter remains projection; provider-neutral and server owners retain semantics
http.models.list	Integrate	src/server/openai	GET /v1/models	OpenAI model list JSON	request	read only	yes	runtime.status	none	none	GET /v1/models	yes	transport projection	none	OpenAI adapter remains projection; provider-neutral and server owners retain semantics
http.models.show	Integrate	src/server/openai	GET /v1/models/{model}	OpenAI model JSON or error	request	read only	yes	runtime.status	none	none	GET /v1/models/{model}	yes	transport projection	none	OpenAI adapter remains projection; provider-neutral and server owners retain semantics
http.responses	Integrate	src/server/openai + provider	POST JSON input/instructions/tools/previous_response_id/stream	Response JSON or typed SSE events	request/retained response mapping	generation and bounded state retention	conditional	session operations + generation.turn	none	none	POST /v1/responses	yes	transport projection	in-memory previous_response mapping	OpenAI adapter remains projection; provider-neutral and server owners retain semantics
input.prepare	Execute	token input construction	tokens|prompt	human	finite process	reads tokenizer/artifact; builds bounded input	yes	none	yvex runtime input	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
model.list	Run	client model selection	none	human text	finite process	reads selected XDG model configuration	yes	none	yvex model list	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
model.registry	System	model registry/download/preparation	scan|add|download|artifacts|prepare|check|list|current|verify|inspect|use|remove	human/table/audit/JSON/files	finite process	may download/write/remove/register/select artifacts	conditional	none	yvex evidence models	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
model.show	Run	client model selection	none	human text	finite process	reads selected XDG model configuration	yes	none	yvex model show	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
model.status.projected	Run	server core	none	STATUS	request	read only	yes	YVEX_CLIENT_OP_MODEL_SHOW	none	none	/v1/models projection uses status separately	yes	same implementation as runtime.status	operation is false/provisional facade	server protocol/domain authority; registry describes projection only
model.use	Run	client model selection	NAME --artifact FILE --runtime-binding FILE [options]	human text	finite process	atomically writes private XDG model configuration	conditional	none	yvex model use	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
protocol.handshake	Integrate	server protocol	schema_version	ACK or typed error	connection	negotiates exact v3	yes	YVEX_CLIENT_OP_HANDSHAKE	implicit client connect	implicit	internal to HTTP adapter	no	one	none	server protocol/domain authority; registry describes projection only
quant.convert	Compile	selected tensor conversion	plan|emit	human/file	finite process	reads native source; may write selected artifact	yes	none	yvex quant convert	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.emit	Compile	physical variant emission	options	human/file	finite process	reads source/plan; writes artifact	yes	none	yvex quant emit	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.explain	Inspect	quant plan explanation	options	human	finite process	reads and explains plan	yes	none	yvex quant explain	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.imatrix	Compile	calibration manifest	create|inspect|validate	human/file	finite process	reads/writes manifest; no calibration	yes	none	yvex quant imatrix	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.job	Compile	external quant job manifest	create|inspect|validate	human/file	finite process	records external job; does not execute tool	conditional	none	yvex quant job	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.plan	Compile	physical variant planning	options	human/file	finite process	reads source/policy; writes plan	yes	none	yvex quant plan	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.policy	Compile	quant policy manifest	inspect|validate|derive	human/file	finite process	reads/writes policy manifest	yes	none	yvex quant policy	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.preset	Compile	physical policy presets	list|show|export	human/file	finite process	reads catalog or writes export	yes	none	yvex quant preset	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.qtype.support	Inspect	qtype capability registry	none	human	finite process	reads capability registry	yes	none	yvex quant qtype	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
quant.summarize	Inspect	quant plan reporting	options	human	finite process	reads and summarizes plan	yes	none	yvex quant summarize	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
repl.quit	Run	REPL interaction/server operation	none	interactive human	finite process	exits client and detaches	conditional	none	/quit	/quit	none	yes	none	see findings.md	typed domain owner plus future operation registry
runtime.host	Run	server runtime host	daemon options	raw JSONL or diagnostics	finite process	opens one model; owns listeners/worker/sessions/KV/telemetry	conditional	none	yvexd	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
runtime.start	Run	server runtime/telemetry	[yvexd options]	daemon stdout/stderr	finite process	executes yvexd; may read selected model config	conditional	none	yvex runtime start	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
runtime.status	Run	server runtime status	request_number	STATUS	request	read only	yes	YVEX_CLIENT_OP_RUNTIME_STATUS	yvex runtime status	/status currently maps session.show, not this operation	/health and model projections	yes	one	renderer omissions	server protocol/domain authority; registry describes projection only
runtime.stop	Run	server lifecycle	request_number	ACK	daemon lifetime	stops admission and daemon	no	YVEX_CLIENT_OP_RUNTIME_STOP	yvex runtime stop	none	none	yes	one	none	server protocol/domain authority; registry describes projection only
runtime.trace	Run	server telemetry	event_after trace_level trace_content	EVENT stream	subscription	read only	yes	YVEX_CLIENT_OP_RUNTIME_TRACE	yvex runtime trace	none	none	yes	one	human technical renderer missing	server protocol/domain authority; registry describes projection only
runtime.watch	Run	server telemetry	event_after	EVENT stream	subscription	read only	yes	YVEX_CLIENT_OP_RUNTIME_WATCH	yvex runtime watch	none	none	yes	one	semantic renderer missing	server protocol/domain authority; registry describes projection only
session.attach	Run	server session registry	session_name	ACK	attachment	increments attachment	no	YVEX_CLIENT_OP_SESSION_ATTACH	yvex session attach	/attach	none	yes	one	none	server protocol/domain authority; registry describes projection only
session.close	Run	server session registry	session_name	ACK	session	closes state/KV	conditional	YVEX_CLIENT_OP_SESSION_CLOSE	yvex session close	/close	Chat ephemeral cleanup; Responses cleanup	yes	one	none	server protocol/domain authority; registry describes projection only
session.detach	Run	server session registry	session_name	ACK	attachment	decrements attachment	conditional	YVEX_CLIENT_OP_SESSION_DETACH	yvex session detach	/detach	none	yes	one	none	server protocol/domain authority; registry describes projection only
session.list	Run	server session registry	none	SESSION rows + COMPLETE	request	read only	yes	YVEX_CLIENT_OP_SESSION_LIST	yvex session list	/sessions	none	yes	one	none	server protocol/domain authority; registry describes projection only
session.new	Run	server session registry	session_name	ACK	session	creates session	no	YVEX_CLIENT_OP_SESSION_NEW	yvex session new	/new	Responses retained-state setup	yes	one	none	server protocol/domain authority; registry describes projection only
session.reset	Run	server session registry	session_name	ACK	session	resets state/KV	no	YVEX_CLIENT_OP_SESSION_RESET	yvex session reset	/reset	none	yes	one	none	server protocol/domain authority; registry describes projection only
session.show	Run	server session registry	session_name	SESSION	request	read only	yes	YVEX_CLIENT_OP_SESSION_SHOW	yvex session show	/status	none	yes	one	slash name misleading	server protocol/domain authority; registry describes projection only
source.manifest	Compile	source provenance	create|report	human/JSON/file	finite process	scans source; may write manifest	conditional	none	yvex source manifest	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
source.native.inspect	Inspect	native safetensors metadata	options	human/JSON	finite process	reads headers only	yes	none	yvex source native	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
system.accounts	System	provider CLI account state	providers|status|login|logout|whoami|ensure	human/table/audit	finite process	may invoke provider CLI/login/logout	conditional	none	yvex evidence accounts	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
system.backend	System	backend capability registry	cpu|cuda	human	finite process	may initialize backend capability probe	conditional	none	yvex evidence backend	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
system.cuda	System	CUDA capability	none	human	finite process	loads CUDA driver/context for inspection	conditional	none	yvex evidence cuda	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
system.paths	System	operator path config	status|run|configure|resolve	human/audit	finite process	may create directories or write config	conditional	none	yvex evidence paths	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
system.version	System	core build identity	none	human text	finite process	none	yes	none	yvex version	none	none	yes	none	see findings.md	typed domain owner plus future operation registry
tensor.collection.report	Inspect	tensor collection report	report options	human/table/audit	finite process	reads artifact facts; report only	yes	none	yvex tensor collection	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
tensor.map	Compile	tensor-role lowering	options	human/JSON	finite process	reads native headers/template	yes	none	yvex tensor map	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
tokenizer.decode	Execute	tokenizer execution	PATH --ids IDS	human	finite process	decodes token IDs	conditional	none	yvex tokenizer decode	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
tokenizer.encode	Execute	tokenizer execution	PATH --text TEXT	human	finite process	tokenizes bytes	conditional	none	yvex tokenizer encode	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
tokenizer.prompt	Execute	family prompt policy	PATH role options	human	finite process	renders prompt/tokens	conditional	none	yvex tokenizer prompt	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
tokenizer.show	Inspect	tokenizer metadata	PATH	human	finite process	reads tokenizer	yes	none	yvex tokenizer show	none	none	conditional	none	see findings.md	typed domain owner plus future operation registry
