surface_id	current_form	disposition	proposed_form	rationale	dependency	migration_risk	implementation_milestone	acceptance_requirement
catalog.graph_fields	src/cli/catalog/graph_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.graph_options	src/cli/catalog/graph_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.kv_boundaries	src/cli/catalog/kv_boundaries.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.kv_fields	src/cli/catalog/kv_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.kv_options	src/cli/catalog/kv_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_artifacts_boundaries	src/cli/catalog/model_artifacts_boundaries.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_artifacts_fields	src/cli/catalog/model_artifacts_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_artifacts_options	src/cli/catalog/model_artifacts_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_artifacts_status	src/cli/catalog/model_artifacts_status.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_target_boundaries	src/cli/catalog/model_target_boundaries.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_target_fields	src/cli/catalog/model_target_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_target_options	src/cli/catalog/model_target_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.model_target_reports	src/cli/catalog/model_target_reports.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.runtime_options	src/cli/catalog/runtime_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.sampling_boundaries	src/cli/catalog/sampling_boundaries.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.sampling_fields	src/cli/catalog/sampling_fields.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.sampling_options	src/cli/catalog/sampling_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.source_options	src/cli/catalog/source_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
catalog.tokenizer_options	src/cli/catalog/tokenizer_options.def	remove-after-command-registry-migration	canonical generated registry or none	orphan CLI catalog; none	V010.OPERATOR.COMMAND.CONSOLE.0	low	V010.OPERATOR.COMMAND.CONSOLE.0	no production consumer or one explicit adapter authority; source/help/dispatch freshness guard
cli.offline.artifact.emit	yvex artifact emit	consolidate	yvex compile artifact emit	adapter projects gguf-emit	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.materialize	yvex artifact materialize	keep	yvex artifact prepare	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.materialize_gate	yvex artifact materialize-gate	move	yvex execute artifact materialization-gate	truthful engineering surface	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.metadata	yvex artifact metadata	move	yvex inspect artifact metadata	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.model_gate	yvex artifact model-gate	move	yvex execute artifact model-gate	truthful engineering surface	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.show	yvex artifact show	keep	yvex artifact show	truthful adapter projection inspect	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.template	yvex artifact template	move	yvex compile template	adapter projects gguf-template	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.tensors	yvex artifact tensors	move	yvex inspect artifact tensors	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.artifact.verify	yvex artifact verify	normalize	yvex artifact verify	hidden argv reconstruction for bare FILE	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.accounts	yvex evidence accounts	move	yvex system accounts	side-effecting system operation under evidence	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.backend	yvex evidence backend	move	yvex system backend	claim namespace obscures system operation	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.cuda	yvex evidence cuda	move	yvex system cuda	claim namespace obscures system operation	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.model	yvex evidence model	split	yvex inspect model / execute materialization	mixes reports and bounded execution	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.models	yvex evidence models	split	yvex model registry / compile acquire / inspect artifact	large side-effecting catalog under evidence; overlaps product model	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.moe	yvex evidence moe	move	yvex inspect moe	report-only but named by claim audience	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.paths	yvex evidence paths	move	yvex system paths	configuration operation under evidence	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.evidence.target	yvex evidence target	dissolve	yvex inspect target	audience/claim namespace, not stable domain	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.graph	yvex graph	split-by-operation	yvex execute ... / profile ...	broad implementation namespace	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.convert	yvex quant convert	move	yvex compile convert	truthful	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.emit	yvex quant emit	move	yvex compile quant emit	truthful	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.explain	yvex quant explain	move	yvex inspect quant decision	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.help	yvex quant --help	replace-registry-projection	yvex compile quant --help	manual command help	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.imatrix	yvex quant imatrix	move	yvex compile calibration	truthful	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.job	yvex quant job	move	yvex compile quant job	adapter projects quant-job	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.plan	yvex quant plan	move	yvex compile quant plan	truthful	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.policy	yvex quant policy	move	yvex compile quant policy	adapter projects quant-policy	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.preset	yvex quant preset	move	yvex compile quant preset	truthful	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.qtype	yvex quant qtype	move	yvex inspect qtype	adapter projects qtype-support	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.quant.summarize	yvex quant summarize	move	yvex inspect quant plan	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.runtime.context	yvex runtime context	move	yvex inspect context	misplaced under hosted runtime namespace	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.runtime.input	yvex runtime input	move	yvex execute input	misplaced under hosted runtime namespace	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.source.manifest	yvex source manifest	move	yvex compile source	truthful but report and mutation share route	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.source.native	yvex source native	move	yvex inspect source tensors	adapter projects native-weights	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.tensor.collection	yvex tensor collection	move	yvex inspect tensor collection	adapter projects tensor-collection	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.tensor.map	yvex tensor map	move	yvex compile tensor-map	adapter projects tensor-map	canonical operation registry and approved taxonomy	low	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.tokenizer.decode	yvex tokenizer decode	move	yvex execute tokenizer decode	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.tokenizer.encode	yvex tokenizer encode	move	yvex execute tokenizer encode	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.tokenizer.prompt	yvex tokenizer prompt	move	yvex execute prompt	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.offline.tokenizer.show	yvex tokenizer show	move	yvex inspect tokenizer	truthful	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.chat	yvex chat	keep	yvex chat	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.default	yvex	keep	yvex	truthful alias	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.help	yvex help	replace-registry-projection	yvex help [PATH]	incomplete and manually duplicated	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.model.list	yvex model list	rename-or-remove	yvex model selected	misleading: identical to model show and does not list models	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.model.show	yvex model show	rename	yvex model selected	misleading: selected configuration is not live runtime identity	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.model.use	yvex model use	normalize	yvex model select NAME	truthful but DeepSeek/CUDA/4096 defaults are client-local policy	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.run	yvex run	keep	yvex run	truthful; detailed help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.runtime.start	yvex runtime start	keep	yvex runtime start	truthful foreground exec; selected config fallback	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.runtime.status	yvex runtime status	keep-and-expand-renderer	yvex runtime status	human view omits authoritative variant/context facts	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.runtime.stop	yvex runtime stop	keep	yvex runtime stop	truthful	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.runtime.trace	yvex runtime trace	normalize-flag	yvex runtime trace [--json]	--follow is inert because trace always follows	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.runtime.watch	yvex runtime watch	replace-renderer	yvex runtime watch	claims operational view but renders generic a/b fields	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.attach	yvex session attach	keep	yvex session attach	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.close	yvex session close	keep	yvex session close	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.detach	yvex session detach	keep	yvex session detach	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.list	yvex session list	keep	yvex session list	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.new	yvex session new	keep	yvex session new	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.reset	yvex session reset	keep	yvex session reset	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.session.show	yvex session show	keep	yvex session show	truthful; namespace help absent	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
cli.yvex.version	yvex version	keep	yvex version	truthful	canonical operation registry and approved taxonomy	high	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
config.model.selected	$XDG_CONFIG_HOME/yvex/model.conf	rename-and-distinguish-live	$XDG_CONFIG_HOME/yvex/model.conf	classified configuration owned by src/cli/io/client.c	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
config.package.manifest	config/package_manifest.tsv	retain	config/package_manifest.tsv	classified configuration owned by release/package	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
config.runtime.socket	$XDG_RUNTIME_DIR/yvex/yvexd.sock	retain	$XDG_RUNTIME_DIR/yvex/yvexd.sock	classified configuration owned by src/server/protocol.c	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
daemon.yvexd	yvexd	retain-configure	yvexd (normally through yvex runtime start/service config)	truthful but service policy repeated as flags	canonical operation registry and approved taxonomy	medium	V010.OPERATOR.COMMAND.CONSOLE.0	one authoritative operation; generated or validated help; behavior and refusal regression
env.ar	AR	retain-build-only	AR	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.build_dir	BUILD_DIR	retain-build-only	BUILD_DIR	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.cc	CC	retain-build-only	CC	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.cflags	CFLAGS	retain-build-only	CFLAGS	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.cppflags	CPPFLAGS	retain-build-only	CPPFLAGS	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.cuda_home	CUDA_HOME	retain-build-only	CUDA_HOME	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.cuda_ldflags	CUDA_LDFLAGS	retain-external-evidence	CUDA_LDFLAGS	classified environment owned by test/live harness	accepted product topology	medium	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.deepseek_models_root	DEEPSEEK_MODELS_ROOT	retain-build-only	DEEPSEEK_MODELS_ROOT	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.deepseek_operator_models_root	DEEPSEEK_OPERATOR_MODELS_ROOT	retain-build-only	DEEPSEEK_OPERATOR_MODELS_ROOT	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.deepseek_selected_artifact	DEEPSEEK_SELECTED_ARTIFACT	retain-build-only	DEEPSEEK_SELECTED_ARTIFACT	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.deepseek_source	DEEPSEEK_SOURCE	retain-build-only	DEEPSEEK_SOURCE	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.deepseek_source_manifest	DEEPSEEK_SOURCE_MANIFEST	retain-build-only	DEEPSEEK_SOURCE_MANIFEST	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.depflags	DEPFLAGS	retain-external-evidence	DEPFLAGS	classified environment owned by test/live harness	accepted product topology	medium	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.home	HOME	retain-normalize	HOME	classified environment owned by product path/config owner	accepted product topology	medium	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.ldflags	LDFLAGS	retain-build-only	LDFLAGS	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.ldlibs	LDLIBS	retain-build-only	LDLIBS	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.lib_dir	LIB_DIR	retain-build-only	LIB_DIR	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.libyvex	LIBYVEX	retain-build-only	LIBYVEX	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.nvcc	NVCC	retain-build-only	NVCC	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.nvccflags	NVCCFLAGS	retain-build-only	NVCCFLAGS	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.obj_dir	OBJ_DIR	retain-build-only	OBJ_DIR	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.path	PATH	retain-normalize	PATH	classified environment owned by product path/config owner	accepted product topology	medium	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
env.pinned_ggml_build	PINNED_GGML_BUILD	retain-build-only	PINNED_GGML_BUILD	classified environment owned by Makefile	accepted product topology	low	V010.OPERATOR.COMMAND.CONSOLE.0	preserve authoritative owner; no compatibility executable; focused discovery or behavior guard
