command_id	executable	full_path	operation_id	plane	visibility	parser_owner	domain_owner	transport	positional_arguments	daemon_required	engine_lane	TTY_required	side_effects	output	help_source	tests	documentation	duplicate_group	truthfulness	disposition	proposed_path
cli.offline.evidence.backend	yvex	yvex evidence backend	system.backend	System	product-advanced	src/cli/main.c -> src/cli/commands/backend.c	backend capability registry	in-process	cpu|cuda	no	offline-engine	action-dependent	may initialize backend capability probe	human	src/cli/commands/backend.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	claim namespace obscures system operation	move	yvex system backend
cli.offline.evidence.cuda	yvex	yvex evidence cuda	system.cuda	System	product-advanced	src/cli/main.c -> src/cli/commands/backend.c	CUDA capability	in-process	none	no	offline-engine	action-dependent	loads CUDA driver/context for inspection	human	src/cli/commands/backend.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	claim namespace obscures system operation	move	yvex system cuda
cli.offline.evidence.model	yvex	yvex evidence model	evidence.model	Inspect	engineering	src/cli/main.c -> src/cli/commands/model_artifacts.c	model artifact reports	in-process	report|materialization-plan|materialize|descriptor|family-runtime	no	offline-engine	action-dependent	reads artifacts; bounded materialize may mutate transient state	human/table/audit/files	src/cli/commands/model_artifacts.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	mixes reports and bounded execution	split	yvex inspect model / execute materialization
cli.offline.evidence.models	yvex	yvex evidence models	model.registry	System	product-advanced	src/cli/main.c -> src/cli/commands/model_artifacts.c	model registry/download/preparation	in-process	scan|add|download|artifacts|prepare|check|list|current|verify|inspect|use|remove	no	offline-engine	action-dependent	may download/write/remove/register/select artifacts	human/table/audit/JSON/files	src/cli/commands/model_artifacts.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	large side-effecting catalog under evidence; overlaps product model	split	yvex model registry / compile acquire / inspect artifact
cli.offline.evidence.moe	yvex	yvex evidence moe	evidence.moe	Inspect	engineering	src/cli/main.c -> src/cli/commands/model_artifacts.c	MoE report	in-process	report options	no	offline-engine	action-dependent	reads artifact facts	human/table/audit	src/cli/commands/model_artifacts.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	report-only but named by claim audience	move	yvex inspect moe
cli.offline.evidence.paths	yvex	yvex evidence paths	system.paths	System	product-advanced	src/cli/main.c -> src/cli/commands/paths.c	operator path config	in-process	status|run|configure|resolve	no	offline-engine	action-dependent	may create directories or write config	human/audit	src/cli/commands/paths.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	configuration operation under evidence	move	yvex system paths
cli.offline.evidence.target	yvex	yvex evidence target	evidence.target	Inspect	engineering	src/cli/main.c -> src/cli/commands/model_target.c	target catalog/report owners	in-process	many report actions	no	offline-engine	action-dependent	reads catalogs/local paths	human	src/cli/commands/model_target.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	evidence-bucket	audience/claim namespace, not stable domain	dissolve	yvex inspect target
cli.offline.graph	yvex	yvex graph	execute.graph	Execute	engineering	src/cli/main.c -> src/cli/commands/graph.c	graph/runtime numerical owners	in-process	attention|moe|transformer nested actions	no	offline-engine	action-dependent	may execute CPU/CUDA numerical paths and emit reports	human/JSON/files	src/cli/commands/graph.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	graph	broad implementation namespace	split-by-operation	yvex execute ... / profile ...
cli.offline.quant.convert	yvex	yvex quant convert	quant.convert	Compile	engineering	src/cli/main.c -> src/cli/commands/gguf.c	selected tensor conversion	in-process	plan|emit	no	offline-engine	action-dependent	reads native source; may write selected artifact	human/file	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-convert	truthful	move	yvex compile convert
cli.offline.quant.emit	yvex	yvex quant emit	quant.emit	Compile	product-default	src/cli/main.c -> src/cli/commands/quant.c	physical variant emission	in-process	options	no	offline-engine	action-dependent	reads source/plan; writes artifact	human/file	src/cli/commands/quant.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-policy	truthful	move	yvex compile quant emit
cli.offline.quant.explain	yvex	yvex quant explain	quant.explain	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/quant.c	quant plan explanation	in-process	options	no	offline-engine	action-dependent	reads and explains plan	human	src/cli/commands/quant.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-report	truthful	move	yvex inspect quant decision
cli.offline.quant.help	yvex	yvex quant --help	command.discovery.quant	Compile	product-advanced	src/cli/main.c -> src/cli/commands/quant.c	quant command syntax	in-process	none	no	offline-engine	action-dependent	none	human	src/cli/commands/quant.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-help	manual command help	replace-registry-projection	yvex compile quant --help
cli.offline.quant.imatrix	yvex	yvex quant imatrix	quant.imatrix	Compile	engineering	src/cli/main.c -> src/cli/commands/gguf.c	calibration manifest	in-process	create|inspect|validate	no	offline-engine	action-dependent	reads/writes manifest; no calibration	human/file	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	calibration-manifest	truthful	move	yvex compile calibration
cli.offline.quant.job	yvex	yvex quant job	quant.job	Compile	engineering	src/cli/main.c -> src/cli/commands/gguf.c	external quant job manifest	in-process	create|inspect|validate	no	offline-engine	action-dependent	records external job; does not execute tool	human/file	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-job	adapter projects quant-job	move	yvex compile quant job
cli.offline.quant.plan	yvex	yvex quant plan	quant.plan	Compile	product-default	src/cli/main.c -> src/cli/commands/quant.c	physical variant planning	in-process	options	no	offline-engine	action-dependent	reads source/policy; writes plan	human/file	src/cli/commands/quant.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-policy	truthful	move	yvex compile quant plan
cli.offline.quant.policy	yvex	yvex quant policy	quant.policy	Compile	product-advanced	src/cli/main.c -> src/cli/commands/gguf.c	quant policy manifest	in-process	inspect|validate|derive	no	offline-engine	action-dependent	reads/writes policy manifest	human/file	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-policy	adapter projects quant-policy	move	yvex compile quant policy
cli.offline.quant.preset	yvex	yvex quant preset	quant.preset	Compile	product-default	src/cli/main.c -> src/cli/commands/quant.c	physical policy presets	in-process	list|show|export	no	offline-engine	action-dependent	reads catalog or writes export	human/file	src/cli/commands/quant.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-policy	truthful	move	yvex compile quant preset
cli.offline.quant.qtype	yvex	yvex quant qtype	quant.qtype.support	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/gguf.c	qtype capability registry	in-process	none	no	offline-engine	action-dependent	reads capability registry	human	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	qtype	adapter projects qtype-support	move	yvex inspect qtype
cli.offline.quant.summarize	yvex	yvex quant summarize	quant.summarize	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/quant.c	quant plan reporting	in-process	options	no	offline-engine	action-dependent	reads and summarizes plan	human	src/cli/commands/quant.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	quant-report	truthful	move	yvex inspect quant plan
cli.offline.runtime.context	yvex	yvex runtime context	context.report	Inspect	engineering	src/cli/main.c -> src/cli/commands/model_artifacts.c	context report	in-process	report options	no	offline-engine	action-dependent	reads artifact/registry; report only	human/table/audit	src/cli/commands/model_artifacts.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	runtime-offline-collision	misplaced under hosted runtime namespace	move	yvex inspect context
cli.offline.runtime.input	yvex	yvex runtime input	input.prepare	Execute	engineering	src/cli/main.c -> src/cli/commands/tokenizer.c	token input construction	in-process	tokens|prompt	no	offline-engine	action-dependent	reads tokenizer/artifact; builds bounded input	human	src/cli/commands/tokenizer.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	runtime-offline-collision	misplaced under hosted runtime namespace	move	yvex execute input
cli.offline.source.manifest	yvex	yvex source manifest	source.manifest	Compile	product-default	src/cli/main.c -> src/cli/commands/source.c	source provenance	in-process	create|report	no	offline-engine	action-dependent	scans source; may write manifest	human/JSON/file	src/cli/commands/source.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	source	truthful but report and mutation share route	move	yvex compile source
cli.offline.source.native	yvex	yvex source native	source.native.inspect	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/gguf.c	native safetensors metadata	in-process	options	no	offline-engine	action-dependent	reads headers only	human/JSON	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	source	adapter projects native-weights	move	yvex inspect source tensors
cli.offline.tensor.collection	yvex	yvex tensor collection	tensor.collection.report	Inspect	engineering	src/cli/main.c -> src/cli/commands/model_artifacts.c	tensor collection report	in-process	report options	no	offline-engine	action-dependent	reads artifact facts; report only	human/table/audit	src/cli/commands/model_artifacts.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	tensor	adapter projects tensor-collection	move	yvex inspect tensor collection
cli.offline.tensor.map	yvex	yvex tensor map	tensor.map	Compile	engineering	src/cli/main.c -> src/cli/commands/gguf.c	tensor-role lowering	in-process	options	no	offline-engine	action-dependent	reads native headers/template	human/JSON	src/cli/commands/gguf.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	tensor	adapter projects tensor-map	move	yvex compile tensor-map
cli.offline.tokenizer.decode	yvex	yvex tokenizer decode	tokenizer.decode	Execute	product-advanced	src/cli/main.c -> src/cli/commands/tokenizer.c	tokenizer execution	in-process	PATH --ids IDS	no	offline-engine	action-dependent	decodes token IDs	human	src/cli/commands/tokenizer.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	tokenizer	truthful	move	yvex execute tokenizer decode
cli.offline.tokenizer.encode	yvex	yvex tokenizer encode	tokenizer.encode	Execute	product-advanced	src/cli/main.c -> src/cli/commands/tokenizer.c	tokenizer execution	in-process	PATH --text TEXT	no	offline-engine	action-dependent	tokenizes bytes	human	src/cli/commands/tokenizer.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	tokenizer	truthful	move	yvex execute tokenizer encode
cli.offline.tokenizer.prompt	yvex	yvex tokenizer prompt	tokenizer.prompt	Execute	product-advanced	src/cli/main.c -> src/cli/commands/tokenizer.c	family prompt policy	in-process	PATH role options	no	offline-engine	action-dependent	renders prompt/tokens	human	src/cli/commands/tokenizer.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	tokenizer	truthful	move	yvex execute prompt
cli.offline.tokenizer.show	yvex	yvex tokenizer show	tokenizer.show	Inspect	product-advanced	src/cli/main.c -> src/cli/commands/tokenizer.c	tokenizer metadata	in-process	PATH	no	offline-engine	action-dependent	reads tokenizer	human	src/cli/commands/tokenizer.c	tests/cli/*.sh and owner-focused tests	docs/operator-runbook.md and command-owned help	tokenizer	truthful	move	yvex inspect tokenizer
cli.yvex.chat	yvex	yvex chat	generation.chat	Run	product-default	src/cli/io/client.c	server session/generation	local-protocol-v3	[--session NAME] [--max-new-tokens N]	yes	runtime-client	yes	creates or attaches session; streams and commits turns	interactive human	src/cli/io/client.c:print_help	tests/repl_pty.sh; tests/client_cutover.sh	README.md; docs/operator-runbook.md	chat-entry	truthful; namespace help absent	keep	yvex chat
cli.yvex.default	yvex	yvex	generation.chat	Run	product-default	src/cli/io/client.c	server session/generation	local-protocol-v3	none	yes	runtime-client	yes	creates or attaches main session; streams turns	interactive human	src/cli/io/client.c:print_help	tests/repl_pty.sh	README.md; docs/operator-runbook.md	chat-entry	truthful alias	keep	yvex
cli.yvex.help	yvex	yvex help	command.discovery	System	product-default	src/cli/io/client.c	operator syntax	none	no topic accepted	no	runtime-client	no	none	human text	src/cli/io/client.c:print_help	tests/client_cutover.sh	README.md	help-authority	incomplete and manually duplicated	replace-registry-projection	yvex help [PATH]
cli.yvex.model.list	yvex	yvex model list	model.list	Run	product-default	src/cli/io/client.c	client model selection	local-file	none	no	runtime-client	no	reads selected XDG model configuration	human text	src/cli/io/client.c:print_help	tests/client_cutover.sh	docs/operator-runbook.md	model-selected	misleading: identical to model show and does not list models	rename-or-remove	yvex model selected
cli.yvex.model.show	yvex	yvex model show	model.show	Run	product-default	src/cli/io/client.c	client model selection	local-file	none	no	runtime-client	no	reads selected XDG model configuration	human text	src/cli/io/client.c:print_help	tests/client_cutover.sh	docs/operator-runbook.md	model-selected	misleading: selected configuration is not live runtime identity	rename	yvex model selected
cli.yvex.model.use	yvex	yvex model use	model.use	Run	product-advanced	src/cli/io/client.c	client model selection	local-file	NAME --artifact FILE --runtime-binding FILE [options]	no	runtime-client	no	atomically writes private XDG model configuration	human text	src/cli/io/client.c:print_help	tests/client_cutover.sh	docs/operator-runbook.md	model-use	truthful but DeepSeek/CUDA/4096 defaults are client-local policy	normalize	yvex model select NAME
cli.yvex.run	yvex	yvex run	generation.turn	Run	product-default	src/cli/io/client.c	server generation	local-protocol-v3	[sampling options] TEXT	yes	runtime-client	no	creates/closes ephemeral session unless named; streams committed text	streamed human plus metrics	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/live/client_refoundation.sh	README.md; docs/operator-runbook.md	generation-turn	truthful; detailed help absent	keep	yvex run
cli.yvex.runtime.start	yvex	yvex runtime start	runtime.start	Run	product-default	src/cli/io/client.c	server runtime/telemetry	process-exec	[yvexd options]	no (becomes daemon)	runtime-client	no	executes yvexd; may read selected model config	daemon stdout/stderr	src/cli/io/client.c:print_help	tests/client_cutover.sh	README.md; docs/operator-runbook.md	runtime.start	truthful foreground exec; selected config fallback	keep	yvex runtime start
cli.yvex.runtime.status	yvex	yvex runtime status	runtime.status	Run	product-default	src/cli/io/client.c	server runtime/telemetry	local-protocol-v3	[--json]	yes	runtime-client	no	read/subscription only	compact human or JSON	src/cli/io/client.c:print_help	tests/client_cutover.sh	README.md; docs/operator-runbook.md	runtime.status	human view omits authoritative variant/context facts	keep-and-expand-renderer	yvex runtime status
cli.yvex.runtime.stop	yvex	yvex runtime stop	runtime.stop	Run	product-default	src/cli/io/client.c	server runtime/telemetry	local-protocol-v3	none	yes	runtime-client	no	stops daemon	ack	src/cli/io/client.c:print_help	tests/client_cutover.sh	README.md; docs/operator-runbook.md	runtime.stop	truthful	keep	yvex runtime stop
cli.yvex.runtime.trace	yvex	yvex runtime trace	runtime.trace	Run	product-default	src/cli/io/client.c	server runtime/telemetry	local-protocol-v3	[--follow]	yes	runtime-client	no	read/subscription only	raw JSONL	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/live/client_refoundation.sh	README.md; docs/operator-runbook.md	runtime.trace	--follow is inert because trace always follows	normalize-flag	yvex runtime trace [--json]
cli.yvex.runtime.watch	yvex	yvex runtime watch	runtime.watch	Run	product-default	src/cli/io/client.c	server runtime/telemetry	local-protocol-v3	none	yes	runtime-client	no	read/subscription only	generic human events	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/live/client_refoundation.sh	README.md; docs/operator-runbook.md	runtime.watch	claims operational view but renders generic a/b fields	replace-renderer	yvex runtime watch
cli.yvex.session.attach	yvex	yvex session attach	session.attach	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	NAME	yes	runtime-client	no	increments attachment	ack	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-attach	truthful; namespace help absent	keep	yvex session attach
cli.yvex.session.close	yvex	yvex session close	session.close	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	NAME	yes	runtime-client	no	closes server session	ack	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-close	truthful; namespace help absent	keep	yvex session close
cli.yvex.session.detach	yvex	yvex session detach	session.detach	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	NAME	yes	runtime-client	no	decrements attachment	ack	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-detach	truthful; namespace help absent	keep	yvex session detach
cli.yvex.session.list	yvex	yvex session list	session.list	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	none	yes	runtime-client	no	reads session registry	list	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-list	truthful; namespace help absent	keep	yvex session list
cli.yvex.session.new	yvex	yvex session new	session.new	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	[NAME]	yes	runtime-client	no	creates server session	ack	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-new	truthful; namespace help absent	keep	yvex session new
cli.yvex.session.reset	yvex	yvex session reset	session.reset	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	NAME	yes	runtime-client	no	resets exact session state	ack	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-reset	truthful; namespace help absent	keep	yvex session reset
cli.yvex.session.show	yvex	yvex session show	session.show	Run	product-default	src/cli/io/client.c	server session registry	local-protocol-v3	NAME	yes	runtime-client	no	reads one session	session facts	src/cli/io/client.c:print_help	tests/client_cutover.sh; tests/repl_pty.sh	docs/operator-runbook.md	session-show	truthful; namespace help absent	keep	yvex session show
cli.yvex.version	yvex	yvex version	system.version	System	product-default	src/cli/io/client.c	core build identity	none	none	no	runtime-client	no	none	human text	src/cli/io/client.c	tests/client_cutover.sh	README.md	version	truthful	keep	yvex version
daemon.yvexd	yvexd	yvexd	runtime.host	Run	product-advanced	src/daemon/yvexd.c	server runtime host	process CLI	daemon options	no	daemon-entrypoint	no	opens one model; owns listeners/worker/sessions/KV/telemetry	raw JSONL or diagnostics	src/daemon/yvexd.c:print_help	tests/cli/server.sh; tests/product_topology.sh	docs/operator-runbook.md; docs/contract.md	daemon	truthful but service policy repeated as flags	retain-configure	yvexd (normally through yvex runtime start/service config)
repl.attach	yvex REPL	/attach	session.attach	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	NAME	yes	runtime-client	yes	attaches session	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	session-attach	hardcoded separately from external dispatch	retain adapter	/attach NAME
repl.cancel	yvex REPL	/cancel	generation.cancel	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	yes	runtime-client	yes	cancels in-flight turn through signal coordinator	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	cancel	hardcoded separately from external dispatch	retain interaction	/cancel
repl.close	yvex REPL	/close	session.close	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	yes	runtime-client	yes	closes current session	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	session-close	hardcoded separately from external dispatch	retain adapter	/close
repl.detach	yvex REPL	/detach	session.detach	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	yes	runtime-client	yes	detaches current session	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	session-detach	hardcoded separately from external dispatch	retain adapter	/detach
repl.help	yvex REPL	/help	command.discovery	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	no	runtime-client	yes	prints independently hardcoded slash help	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	help-authority	hardcoded separately from external dispatch	replace with registry projection	/help [PATH]
repl.new	yvex REPL	/new	session.new	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	[NAME]	yes	runtime-client	yes	creates and attaches a session	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	session-new	hardcoded separately from external dispatch	retain adapter	/new [NAME]
repl.quit	yvex REPL	/quit	repl.quit	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	no	runtime-client	yes	exits client and detaches	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	repl-quit	hardcoded separately from external dispatch	retain interaction	/quit
repl.reset	yvex REPL	/reset	session.reset	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	yes	runtime-client	yes	resets current session	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	session-reset	hardcoded separately from external dispatch	retain adapter	/reset
repl.sessions	yvex REPL	/sessions	session.list	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	yes	runtime-client	yes	lists server sessions	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	session-list	hardcoded separately from external dispatch	retain adapter	/sessions
repl.status	yvex REPL	/status	session.show	Run	product-default	src/cli/io/client.c	REPL interaction/server operation	REPL + local-protocol-v3	none	yes	runtime-client	yes	shows one session through SESSION_SHOW, not runtime summary	interactive human	src/cli/io/client.c:repl_help	tests/repl_pty.sh	docs/operator-runbook.md	status-slash	hardcoded separately from external dispatch	rename or split	/session
