path	kind	baseline_class	baseline_authority	conflict	disposition	final_owner	claim_effect
docs/diagrams/runtime_host_sessions.svg	svg	architecture-diagram	projection	none	kept	docs/diagrams/runtime_host_sessions.svg	preserved
docs/diagrams/system_overview.mmd	mermaid	architecture-diagram	source	none	kept	docs/diagrams/system_overview.mmd	preserved
docs/diagrams/system_overview.svg	svg	architecture-diagram	projection	none	kept	docs/diagrams/system_overview.svg	preserved
docs/logo.svg	svg	public-brand	projection	none	kept	docs/logo.svg	preserved
docs/migrations/command-architecture-v1.md	markdown	migration	canonical	none	kept	docs/migrations/command-architecture-v1.md	preserved
docs/milestones/command-architecture.md	markdown	milestone-contract	canonical	embedded live-state transition and Active Next assignment	kept-authority-normalized	docs/milestones/command-architecture.md	preserved
docs/milestones/runtime-console-repl.md	markdown	milestone-contract	canonical	embedded live-state transition and Active Next assignment	kept-authority-normalized	docs/milestones/runtime-console-repl.md	preserved
docs/model-families.md	markdown	family-architecture	mixed	integration DeepSeek Qwen Gemma candidates and current posture compete	split	docs/model-families/integration.md;docs/model-families/deepseek-v4-flash.md;docs/model-families/qwen.md;docs/model-families/gemma.md	preserved
docs/openai-compatibility.md	markdown	compatibility-contract	canonical	none	kept-updated	docs/openai-compatibility.md	preserved
docs/operator-runbook.md	markdown	operations	canonical	none	kept-updated	docs/operator-runbook.md	preserved
docs/reference-architecture.md	markdown	reference-architecture	mixed	implementation-independent paper contains current YVEX projection and milestone traceability	split-moved	docs/reference/verified-inference.md;docs/development/reference-baseline.md	preserved
docs/runbooks/README.md	markdown	operations-index	projection	redundant after canonical documentation index	merged-deleted	docs/README.md	preserved
docs/runbooks/common.md	markdown	validation-operations	canonical	flat runbook grouping and stale evidence policy	moved-edited	docs/operations/validation.md	preserved
docs/runbooks/deepseek.md	markdown	family-operations	canonical	family facts and procedure overlap	moved-edited	docs/operations/deepseek.md	preserved
docs/system-target.md	markdown	development-architecture	mixed	module ownership mixed with live gap table and capability chronology	moved-edited	docs/development/source-ownership.md	preserved
docs/topology-closure-audit.md	markdown	audit	frozen	flat historical evidence	moved-unchanged	docs/audits/topology-closure.md	preserved
docs/v010-release-doctrine.md	markdown	release	mixed	stable gate meanings mixed with version target and readiness	split	docs/releases/doctrine.md;docs/releases/v0.1.md	preserved
tests/vectors/README.md	markdown	test-support	canonical	none	kept	tests/vectors/README.md	preserved
